row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2021,01/01/2021,numeric__Mã số,numeric__TM,numeric__31/12/2021,numeric__01/01/2021
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,4.190.004.720.980,3.516.984.751.427,100.0,,4190004720980.0,3516984751427.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5.1,146.498.638.651,452.628.280.002,110.0,51.0,146498638651.0,452628280002.0
Tiền,Tiền,Tiền,111,,146.498.638.651,436.628.280.002,111.0,,146498638651.0,436628280002.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,-,16.000.000.000,112.0,,,16000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,14.700.000.000,30.700.000.000,120.0,52.0,14700000000.0,30700000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,14.700.000.000,30.700.000.000,123.0,,14700000000.0,30700000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.542.322.105.470,2.672.251.595.554,130.0,,3542322105470.0,2672251595554.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.3,3.517.563.549.527,2.622.176.180.243,131.0,53.0,3517563549527.0,2622176180243.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,8.396.729.926,14.369.474.827,132.0,,8396729926.0,14369474827.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,133,,-,226.114.905,133.0,,,226114905.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.4,16.878.031.550,35.979.218.665,136.0,54.0,16878031550.0,35979218665.0
Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),137,,(516.205.533),(499.393.086),137.0,,-516205533.0,-499393086.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.6,347.470.138.608,286.116.394.678,140.0,56.0,347470138608.0,286116394678.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,347.676.062.897,286.322.318.967,141.0,,347676062897.0,286322318967.0
Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),149,,(205.924.289),(205.924.289),149.0,,-205924289.0,-205924289.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,139.013.838.251,75.288.481.193,150.0,,139013838251.0,75288481193.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.10,2.010.674.855,8.915.426.848,151.0,510.0,2010674855.0,8915426848.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,97.203.395.227,65.895.246.115,152.0,,97203395227.0,65895246115.0
