row_label_raw,row_label_full,(i),Phải thu khác tại ngày 31/12/2021 bao gồm:,31/12/2021 (VND),numeric__Phải thu khác tại ngày 31/12/2021 bao gồm:,numeric__31/12/2021 (VND)
,,,Thuế GTGT điện bán ra,9.914.999.706,,9914999706.0
,,,Các khoản khác,6.301.425.300,,6301425300.0
,,,Cộng,16.216.425.006,,16216425006.0
