row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tỉnh VND,TSCĐVH khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tỉnh VND,numeric__TSCĐVH khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,40.222.571.621,8.282.748.811,1.407.993.997,49.913.314.429,40222571621.0,8282748811.0,1407993997.0,49913314429.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,844.337.143,844.337.143,,,844337143.0,844337143.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,-,-,176.621.322,176.621.322,,,176621322.0,176621322.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,25.587.178.344,-,142.641.818,25.729.820.162,25587178344.0,,142641818.0,25729820162.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,(4.220.740.685),-,-,(4.220.740.685),-4220740685.0,,,-4220740685.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,61.589.009.280,8.282.748.811,2.571.594.280,72.443.352.371,61589009280.0,8282748811.0,2571594280.0,72443352371.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,7.032.497.670,6.009.759.741,996.343.146,14.038.600.557,7032497670.0,6009759741.0,996343146.0,14038600557.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,957.930.902,1.009.209.876,760.205.324,2.727.346.102,957930902.0,1009209876.0,760205324.0,2727346102.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,(3.751.103.635),-,-,(3.751.103.635),-3751103635.0,,,-3751103635.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,4.239.324.937,7.018.969.616,1.756.548.471,13.014.843.024,4239324937.0,7018969616.0,1756548471.0,13014843024.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,33.190.073.951,2.272.989.070,411.650.851,35.874.713.872,33190073951.0,2272989070.0,411650851.0,35874713872.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,57.349.684.343,1.263.779.195,815.045.809,59.428.509.347,57349684343.0,1263779195.0,815045809.0,59428509347.0
"Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đảm bảo khoản vay:","GIÁ TRỊ CÒN LẠI > Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ vô hình dùng để thế chấp, cầm cố đảm bảo khoản vay:",45.023.194.471,,,,45023194471.0
Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,3.450.744.641,,,,3450744641.0
