row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2021,Giá trị ghi sổ > 01/01/2021,Giá trị hợp lý > 31/12/2021,Giá trị hợp lý > 01/01/2021,numeric__Giá trị ghi sổ > 31/12/2021,numeric__Giá trị ghi sổ > 01/01/2021,numeric__Giá trị hợp lý > 31/12/2021,numeric__Giá trị hợp lý > 01/01/2021
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.239.638.734.159,1.255.638.734.159,1.239.638.734.159,1.255.638.734.159,1239638734159.0,1255638734159.0,1239638734159.0,1255638734159.0
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,3.517.563.549.527,2.622.176.180.243,3.517.047.343.994,2.621.676.787.157,3517563549527.0,2622176180243.0,3517047343994.0,2621676787157.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,29.243.160.544,47.209.192.933,29.243.160.544,47.209.192.933,29243160544.0,47209192933.0,29243160544.0,47209192933.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,146.498.638.651,452.628.280.002,146.498.638.651,452.628.280.002,146498638651.0,452628280002.0,146498638651.0,452628280002.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,4.932.944.082.881,4.377.652.387.337,4.932.427.877.348,4.377.152.994.251,4932944082881.0,4377652387337.0,4932427877348.0,4377152994251.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,2.572.841.552.321,3.119.666.078.616,2.572.841.552.321,3.119.666.078.616,2572841552321.0,3119666078616.0,2572841552321.0,3119666078616.0
Phải trả khác và chi phí phải trả,Nợ phải trả tài chính > Phải trả khác và chi phí phải trả,Phải trả khác và chi phí phải trả,261.457.467.369,74.406.637.622,261.457.467.369,74.406.637.622,261457467369.0,74406637622.0,261457467369.0,74406637622.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,7.921.573.089.103,9.186.428.211.656,7.921.573.089.103,9.186.428.211.656,7921573089103.0,9186428211656.0,7921573089103.0,9186428211656.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,10.755.872.108.793,12.380.500.927.894,10.755.872.108.793,12.380.500.927.894,10755872108793.0,12380500927894.0,10755872108793.0,12380500927894.0
