row_label_raw,row_label_full,TT,Tên đơn vị,Công no > 131,Công no > 331,Công no > 235,Công no > 338,Công no > 341,numeric__Tên đơn vị,numeric__Công no > 131,numeric__Công no > 331,numeric__Công no > 235,numeric__Công no > 338,numeric__Công no > 341
A,A,A,B,1,2,3,7,4,,1.0,2.0,3.0,7.0,4.0
A,A,A,NỘ PHẢI THU,,,,,,,,,,,
I,A > I,I,CÁC KHOẢN NỘ NGẮN HẠN,1.040.070.967,45.000.000,-,-,-,,1040070967.0,45000000.0,,,
1,A > 1,1,Công ty Than Núi Hồng - VVMI,133.928.136,-,-,-,-,,133928136.0,,,,
2,A > 2,2,Công ty CP Xi măng Quán Triều VVMI,43.126.530,-,-,-,-,,43126530.0,,,,
3,A > 3,3,Công ty Kho vận và Căng Cẩm Phả - Vinacomin,747.354.392,-,-,-,-,,747354392.0,,,,
4,A > 4,4,Viện Khoa học và Công nghệ Mổ - Vinacomin,69.478.000,-,,,,,69478000.0,,,,
5,A > 5,5,Công ty Than Na Dương - VVMI,46.183.909,,,,,,46183909.0,,,,
6,A > 6,6,Trường quản trị kinh doanh - TKV,,45.000.000,,,,,,45000000.0,,,
II,II,II,CÁC KHOẢN NỘ DÀI HẠN,-,-,-,-,-,,,,,,
,,,CỘNG,1.040.070.967,45.000.000,-,-,-,,1040070967.0,45000000.0,,,
B,B,B,NỘ PHẢI TRẢ,,,,,,,,,,,
I,B > I,I,CÁC KHOẢN NỘ NGẮN HẠN,400.000.000,138.927.451.928,9.995.642,34.831.838.379,800.032.473.936,,400000000.0,138927451928.0,9995642.0,34831838379.0,800032473936.0
1,B > 1,1,Công ty Kho Vận Và Căng Cẩm Phả - Vinacomin,-,91.928.704.029,-,-,-,,,91928704029.0,,,
2,B > 2,2,"Công ty CP Tin Học, Công Nghệ, Môi trường - Vinacomin",-,639.141.905,-,-,-,,,639141905.0,,,
3,B > 3,3,Công ty CP Vật Tư - TKV,-,17.438.820.643,-,-,-,,,17438820643.0,,,
4,B > 4,4,Công ty CP công nghiệp ô tô - Vinacomin,-,763.242.297,-,-,-,,,763242297.0,,,
5,B > 5,5,Viện cơ khí năng lượng và mô - Vinacomin,-,698.423.328,-,-,-,,,698423328.0,,,
6,B > 6,6,Trường Quản trị kinh doanh Vinacomin,-,27.071.000,-,-,-,,,27071000.0,,,
7,B > 7,7,Công ty CP Xuất nhập khẩu than - Vinacomin,-,11.828.643.053,-,-,-,,,11828643053.0,,,
