row_label_raw,row_label_full,col_0,31/12/2021(VND) > Giá trị,31/12/2021(VND) > Số có khả năngtrà nợ,01/01/2021(VND) > Giá trị,01/01/2021(VND) > Số có khảnăng trả nợ,numeric__31/12/2021(VND) > Giá trị,numeric__31/12/2021(VND) > Số có khả năngtrà nợ,numeric__01/01/2021(VND) > Giá trị,numeric__01/01/2021(VND) > Số có khảnăng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,2.202.625.137.721,2.202.625.137.721,2.720.376.878.030,2.720.376.878.030,2202625137721.0,2202625137721.0,2720376878030.0,2720376878030.0
Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,1.120.176.228.323,1.120.176.228.323,1.512.637.525.908,1.512.637.525.908,1120176228323.0,1120176228323.0,1512637525908.0,1512637525908.0
Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,332.197.616.787,332.197.616.787,218.526.960.268,218.526.960.268,332197616787.0,332197616787.0,218526960268.0,218526960268.0
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công tySông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công tySông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công tySông Đà,105.306.176.854,105.306.176.854,378.152.411.411,378.152.411.411,105306176854.0,105306176854.0,378152411411.0,378152411411.0
Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),140.279.671.139,140.279.671.139,142.085.190.467,142.085.190.467,140279671139.0,140279671139.0,142085190467.0,142085190467.0
Công ty CP Vật tư & Thiết bị Công nghiệp,Công ty CP Vật tư & Thiết bị Công nghiệp,Công ty CP Vật tư & Thiết bị Công nghiệp,21.878.478.000,21.878.478.000,31.442.900.000,31.442.900.000,21878478000.0,21878478000.0,31442900000.0,31442900000.0
Công ty TNHH thương mại và thiết bị điện máy Tân Dương,Công ty TNHH thương mại và thiết bị điện máy Tân Dương,Công ty TNHH thương mại và thiết bị điện máy Tân Dương,6.824.326.340,6.824.326.340,15.962.719.858,15.962.719.858,6824326340.0,6824326340.0,15962719858.0,15962719858.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,475.962.640.278,475.962.640.278,421.569.170.118,421.569.170.118,475962640278.0,475962640278.0,421569170118.0,421569170118.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,370.216.414.600,370.216.414.600,399.289.200.586,399.289.200.586,370216414600.0,370216414600.0,399289200586.0,399289200586.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,370.216.414.600,370.216.414.600,399.289.200.586,399.289.200.586,370216414600.0,370216414600.0,399289200586.0,399289200586.0
Cộng,Cộng,Cộng,2.572.841.552.321,2.572.841.552.321,3.119.666.078.616,3.119.666.078.616,2572841552321.0,2572841552321.0,3119666078616.0,3119666078616.0
