row_label_raw,row_label_full,col_0,Doanh thu bán hàng VND,Doanh thu cung cấp dịch vụ VND,Tổng cộng VND,numeric__Doanh thu bán hàng VND,numeric__Doanh thu cung cấp dịch vụ VND,numeric__Tổng cộng VND
Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,,,
Doanh thu,Năm 2020 > Doanh thu,Doanh thu,12.671.318.218.184,97.459.971.648,12.768.778.189.832,12671318218184.0,97459971648.0,12768778189832.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,10.931.465.153.869,90.022.838.153,11.021.487.992.022,10931465153869.0,90022838153.0,11021487992022.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.739.853.064.315,7.437.133.495,1.747.290.197.810,1739853064315.0,7437133495.0,1747290197810.0
Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,,,
Doanh thu,Năm 2021 > Doanh thu,Doanh thu,12.948.125.113.583,111.182.049.379,13.059.307.162.962,12948125113583.0,111182049379.0,13059307162962.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,11.471.570.835.531,100.127.470.935,11.571.698.306.466,11471570835531.0,100127470935.0,11571698306466.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.476.554.278.052,11.054.578.444,1.487.608.856.496,1476554278052.0,11054578444.0,1487608856496.0
