row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thăng dư vốn có phần VND,Chenh lệch đánh giá lại TS VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,LICĐ không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thăng dư vốn có phần VND,numeric__Chenh lệch đánh giá lại TS VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__LICĐ không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.800.000.000.000,16.641.458,(1.848.203.592),20.278.275.441,557.075.562.980,116.014.456.844,7.491.536.733.131,6800000000000.0,16641458.0,-1848203592.0,20278275441.0,557075562980.0,116014456844.0,7491536733131.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,-,,,,,,,
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,,,,,,,
Lãi trong năm trước,Tăng khác > Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,510.029.749.631,76.035.545.246,586.065.294.877,,,,,510029749631.0,76035545246.0,586065294877.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,-,-,-,-,,,,,,,
Giảm khác,Lỗ trong năm trước > Giảm khác,Giảm khác,-,-,-,-,(543.986.893.205),(166.329.341.091),(710.316.234.296),,,,,-543986893205.0,-166329341091.0,-710316234296.0
Số dư cuối năm trước/ đầu năm nay,Lỗ trong năm trước > Số dư cuối năm trước/ đầu năm nay,Số dư cuối năm trước/ đầu năm nay,6.800.000.000.000,16.641.458,(1.848.203.592),20.278.275.441,523.118.419.406,25.720.660.999,7.367.285.793.712,6800000000000.0,16641458.0,-1848203592.0,20278275441.0,523118419406.0,25720660999.0,7367285793712.0
Tăng vốn trong năm nay,Lỗ trong năm trước > Tăng vốn trong năm nay,Tăng vốn trong năm nay,27.674.750.000,-,-,-,-,-,27.674.750.000,27674750000.0,,,,,,27674750000.0
Tăng khác,Lỗ trong năm trước > Tăng khác,Tăng khác,-,-,-,34.347.000.000,-,-,34.347.000.000,,,,34347000000.0,,,34347000000.0
Lãi trong năm nay,Lỗ trong năm trước > Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,908.446.522.624,(1.175.713.444),907.270.809.180,,,,,908446522624.0,-1175713444.0,907270809180.0
Giảm vốn trong năm nay,Giảm vốn trong năm nay,Giảm vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Giảm khác,Giảm vốn trong năm nay > Giảm khác,Giảm khác,,(45.000.000),,,(546.553.936.935),(6.613.998.121),(553.212.935.056),,-45000000.0,,,-546553936935.0,-6613998121.0,-553212935056.0
Số dư cuối năm,Giảm vốn trong năm nay > Số dư cuối năm,Số dư cuối năm,6.827.674.750.000,(28.358.542),(1.848.203.592),54.625.275.441,885.011.005.095,17.930.949.434,7.783.365.417.836,6827674750000.0,-28358542.0,-1848203592.0,54625275441.0,885011005095.0,17930949434.0,7783365417836.0
