row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Giá trị,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Dự phòng,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Giá trị,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Dự phòng,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Giá trị,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Dự phòng,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Giá trị,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Dự phòng
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",333.619.828.075,(205.924.289),268.604.825.848,(205.924.289),333619828075.0,-205924289.0,268604825848.0,-205924289.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",2.444.891.196,-,1.684.247.374,-,2444891196.0,,1684247374.0,
Chi phí SXKD DD,Chi phí SXKD DD,Chi phí SXKD DD,6.538.236.638,-,12.673.780.221,-,6538236638.0,,12673780221.0,
Thành phẩm,Thành phẩm,Thành phẩm,5.073.106.988,-,3.359.465.524,-,5073106988.0,,3359465524.0,
Cộng,Cộng,Cộng,347.676.062.897,(205.924.289),286.322.318.967,(205.924.289),347676062897.0,-205924289.0,286322318967.0,-205924289.0
5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,,,,
,,,,,31/12/2021(VND),01/01/2021(VND),,,,
a. Chi phí sản xuất. kinh doanh dở dang dài hạn,5.7 Tài sản dở dang dài hạn > a. Chi phí sản xuất. kinh doanh dở dang dài hạn,a. Chi phí sản xuất. kinh doanh dở dang dài hạn,a. Chi phí sản xuất. kinh doanh dở dang dài hạn,a. Chi phí sản xuất. kinh doanh dở dang dài hạn,898.025.842,1.053.494.656,,,898025842.0,1053494656.0
Chi phí thực hiện đề tài nghiên cứu sử dụng nấm gió tại NMND Cao Ngạn,5.7 Tài sản dở dang dài hạn > Chi phí thực hiện đề tài nghiên cứu sử dụng nấm gió tại NMND Cao Ngạn,Chi phí thực hiện đề tài nghiên cứu sử dụng nấm gió tại NMND Cao Ngạn,Chi phí thực hiện đề tài nghiên cứu sử dụng nấm gió tại NMND Cao Ngạn,Chi phí thực hiện đề tài nghiên cứu sử dụng nấm gió tại NMND Cao Ngạn,-,1.053.494.656,,,,1053494656.0
Chi phí nghiên cứu xử lý tro bay động trên đường ngang lò hơi CFB tại NMND Sơn Đông,5.7 Tài sản dở dang dài hạn > Chi phí nghiên cứu xử lý tro bay động trên đường ngang lò hơi CFB tại NMND Sơn Đông,Chi phí nghiên cứu xử lý tro bay động trên đường ngang lò hơi CFB tại NMND Sơn Đông,Chi phí nghiên cứu xử lý tro bay động trên đường ngang lò hơi CFB tại NMND Sơn Đông,Chi phí nghiên cứu xử lý tro bay động trên đường ngang lò hơi CFB tại NMND Sơn Đông,842.435.842,-,,,842435842.0,
Khác,5.7 Tài sản dở dang dài hạn > Khác,Khác,Khác,Khác,55.590.000,-,,,55590000.0,
b. Chi phí xây dựng cơ bản dở dang,5.7 Tài sản dở dang dài hạn > b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,109.871.033.525,140.793.331.419,,,109871033525.0,140793331419.0
- Xây dựng cơ bản,5.7 Tài sản dở dang dài hạn > - Xây dựng cơ bản,- Xây dựng cơ bản,- Xây dựng cơ bản,- Xây dựng cơ bản,70.303.661.310,115.300.561.039,,,70303661310.0,115300561039.0
Xây dựng bãi thải xỉ NMND Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),5.7 Tài sản dở dang dài hạn > Xây dựng bãi thải xỉ NMND Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),Xây dựng bãi thải xỉ NMND Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),Xây dựng bãi thải xỉ NMND Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),Xây dựng bãi thải xỉ NMND Na Dương giai đoạn 2011 - 2012 (nay là giai đoạn 2013 - 2015),20.091.928.227,18.132.291.906,,,20091928227.0,18132291906.0
Dự án Nhà máy nhiệt điện Na Dương 2,5.7 Tài sản dở dang dài hạn > Dự án Nhà máy nhiệt điện Na Dương 2,Dự án Nhà máy nhiệt điện Na Dương 2,Dự án Nhà máy nhiệt điện Na Dương 2,Dự án Nhà máy nhiệt điện Na Dương 2,37.276.974.059,34.287.551.485,,,37276974059.0,34287551485.0
Dự án đầu tư máy móc TBSX năm 2020 - Thiết bị cân than định lượng máy cấp than lò hơi,5.7 Tài sản dở dang dài hạn > Dự án đầu tư máy móc TBSX năm 2020 - Thiết bị cân than định lượng máy cấp than lò hơi,Dự án đầu tư máy móc TBSX năm 2020 - Thiết bị cân than định lượng máy cấp than lò hơi,Dự án đầu tư máy móc TBSX năm 2020 - Thiết bị cân than định lượng máy cấp than lò hơi,Dự án đầu tư máy móc TBSX năm 2020 - Thiết bị cân than định lượng máy cấp than lò hơi,-,25.334.840.000,,,,25334840000.0
Dự án Nâng cấp hệ thống điều khiển tự động Tổ máy S2 (NMND Cẩm Phả),5.7 Tài sản dở dang dài hạn > Dự án Nâng cấp hệ thống điều khiển tự động Tổ máy S2 (NMND Cẩm Phả),Dự án Nâng cấp hệ thống điều khiển tự động Tổ máy S2 (NMND Cẩm Phả),Dự án Nâng cấp hệ thống điều khiển tự động Tổ máy S2 (NMND Cẩm Phả),Dự án Nâng cấp hệ thống điều khiển tự động Tổ máy S2 (NMND Cẩm Phả),-,19.056.567.404,,,,19056567404.0
Các công trình khác,5.7 Tài sản dở dang dài hạn > Các công trình khác,Các công trình khác,Các công trình khác,Các công trình khác,12.934.759.024,18.489.310.244,,,12934759024.0,18489310244.0
- Chi phí sửa chữa lớn,5.7 Tài sản dở dang dài hạn > - Chi phí sửa chữa lớn,- Chi phí sửa chữa lớn,- Chi phí sửa chữa lớn,- Chi phí sửa chữa lớn,39.567.372.215,25.492.770.380,,,39567372215.0,25492770380.0
Cộng,5.7 Tài sản dở dang dài hạn > Cộng,Cộng,Cộng,Cộng,110.769.059.367,141.846.826.075,,,110769059367.0,141846826075.0
