row_label_raw,row_label_full,Điều chỉnh khấu hao TSCĐ các năm trước > Điều chỉnh chi phí SCL các năm trước,Năm 2021(VND) > 46.860.582.018 > 5.853.149.015,Năm 2020(VND) > -,numeric__Năm 2021(VND) > 46.860.582.018 > 5.853.149.015,numeric__Năm 2020(VND) > -
Thu nhập khác,Thu nhập khác,Thu nhập khác,27.527.497.196,1.430.435.496,27527497196.0,1430435496.0
Cộng,Cộng,Cộng,80.241.228.229,1.430.435.496,80241228229.0,1430435496.0
