row_label_raw,row_label_full,Ngày 31/12/2021 > Giá trị ghi số:,Dưới 1 năm > Ngày 31/12/2021 > Giá trị ghi số:,Từ 1 năm trở lên > Ngày 31/12/2021 > Giá trị ghi số:,Tổng cộng > Ngày 31/12/2021 > Giá trị ghi số:,numeric__Dưới 1 năm > Ngày 31/12/2021 > Giá trị ghi số:,numeric__Từ 1 năm trở lên > Ngày 31/12/2021 > Giá trị ghi số:,numeric__Tổng cộng > Ngày 31/12/2021 > Giá trị ghi số:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,146.498.638.651,-,146.498.638.651,146498638651.0,,146498638651.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.517.563.549.527,-,3.517.563.549.527,3517563549527.0,,3517563549527.0
Đầu tư,Đầu tư,Đầu tư,14.700.000.000,1.224.938.734.159,1.239.638.734.159,14700000000.0,1224938734159.0,1239638734159.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,-,-,-,,,
Phải thu khác,Phải thu về cho vay > Phải thu khác,Phải thu khác,16.878.031.550,12.365.128.994,29.243.160.544,16878031550.0,12365128994.0,29243160544.0
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(516.205.533),-,(516.205.533),-516205533.0,,-516205533.0
Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,-,-,,,
Tổng cộng,Dự phòng giảm giá các khoản đầu tư > Tổng cộng,Tổng cộng,3.695.124.014.195,1.237.303.863.153,4.932.427.877.348,3695124014195.0,1237303863153.0,4932427877348.0
Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,,,
Phải trả người bán,Ngày 31/12/2021 > Phải trả người bán,Phải trả người bán,2.202.625.137.721,370.216.414.600,2.572.841.552.321,2202625137721.0,370216414600.0,2572841552321.0
Phải trả. phải nộp khác và chi phí phải trả,Ngày 31/12/2021 > Phải trả. phải nộp khác và chi phí phải trả,Phải trả. phải nộp khác và chi phí phải trả,261.457.467.369,-,261.457.467.369,261457467369.0,,261457467369.0
Các khoản vay và nợ,Ngày 31/12/2021 > Các khoản vay và nợ,Các khoản vay và nợ,3.349.878.446.727,4.571.694.642.376,7.921.573.089.103,3349878446727.0,4571694642376.0,7921573089103.0
Tổng cộng,Ngày 31/12/2021 > Tổng cộng,Tổng cộng,5.813.961.051.817,4.941.911.056.976,10.755.872.108.793,5813961051817.0,4941911056976.0,10755872108793.0
Chênh lệch thanh khoản thuần,Ngày 31/12/2021 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(2.118.837.037.622),(3.704.607.193.823),(5.823.444.231.445),-2118837037622.0,-3704607193823.0,-5823444231445.0
