row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Giá gốc,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Giá trị hợp lý,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Dự phòng,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Giá gốc,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Giá trị hợp lý,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Dự phòng,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Giá gốc,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Giá trị hợp lý,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 31/12/2021(VND) > Dự phòng,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Giá gốc,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Giá trị hợp lý,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2021 > 01/01/2021(VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,14.700.000.000,14.700.000.000,-,30.700.000.000,30.700.000.000,-,14700000000.0,14700000000.0,,30700000000.0,30700000000.0,
Dài hạn,Dài hạn,Dài hạn,1.224.938.734.159,1.224.938.734.159,-,1.224.938.734.159,1.224.938.734.159,-,1224938734159.0,1224938734159.0,,1224938734159.0,1224938734159.0,
Đầu tư vào đơn vi khác:,Đầu tư vào đơn vi khác:,Đầu tư vào đơn vi khác:,1.224.938.734.159,1.224.938.734.159,-,1.224.938.734.159,1.224.938.734.159,-,1224938734159.0,1224938734159.0,,1224938734159.0,1224938734159.0,
- Công ty TNHH Điện lực Vĩnh Tân,- Công ty TNHH Điện lực Vĩnh Tân,- Công ty TNHH Điện lực Vĩnh Tân,386.597.424.159,386.597.424.159,-,386.597.424.159,386.597.424.159,-,386597424159.0,386597424159.0,,386597424159.0,386597424159.0,
- Công ty Cổ phần Nhiệt điện Hải Phòng,- Công ty Cổ phần Nhiệt điện Hải Phòng,- Công ty Cổ phần Nhiệt điện Hải Phòng,360.500.000.000,360.500.000.000,-,360.500.000.000,360.500.000.000,-,360500000000.0,360500000000.0,,360500000000.0,360500000000.0,
- Công ty Cổ phần Nhiệt điện Quảng Ninh,- Công ty Cổ phần Nhiệt điện Quảng Ninh,- Công ty Cổ phần Nhiệt điện Quảng Ninh,477.841.310.000,477.841.310.000,-,477.841.310.000,477.841.310.000,-,477841310000.0,477841310000.0,,477841310000.0,477841310000.0,
Cộng,Cộng,Cộng,1.239.638.734.159,1.239.638.734.159,-,1.255.638.734.159,1.255.638.734.159,-,1239638734159.0,1239638734159.0,,1255638734159.0,1255638734159.0,
Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,Tóm tắt tỉnh hình hoạt động của các công ty mà Tổng công ty góp vốn tại ngày 31/12/2021,,,,,,
Tên công ty,Tên công ty,Tên công ty,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,Hoạt động kinh doanh chính,,,,,,
Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,,,,,,
