row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,3.349.473.086.779,4.394.773.663.754,,300.0,,3349473086779.0,4394773663754.0
I.,I.,I.,Nợ ngắn hạn,310,,1.769.809.161.067,2.030.956.674.136,,310.0,,1769809161067.0,2030956674136.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,14,155.224.133.229,63.722.620.711,,311.0,14.0,155224133229.0,63722620711.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,15,5.004.153.000,33.103.679.600,,312.0,15.0,5004153000.0,33103679600.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,803.189.091,102.709.564,,313.0,16.0,803189091.0,102709564.0
4.,4.,4.,Phải trả người lao động,314,,3.004.609.207,2.552.536.340,,314.0,,3004609207.0,2552536340.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,11.700.679.143,32.567.062.402,,315.0,17.0,11700679143.0,32567062402.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,-,3.384.445.223,,318.0,,,3384445223.0
7.,7.,7.,Phải trả ngắn hạn khác,319,18,984.649.687.098,1.108.623.015.412,,319.0,18.0,984649687098.0,1108623015412.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,19,608.904.269.138,786.786.415.723,,320.0,19.0,608904269138.0,786786415723.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,518.441.161,114.189.161,,322.0,,518441161.0,114189161.0
II.,II.,II.,Nợ dài hạn,330,,1.579.663.925.712,2.363.816.989.618,,330.0,,1579663925712.0,2363816989618.0
1.,1.,1.,Phải trả dài hạn khác,337,18,3.287.514.170,-,,337.0,18.0,3287514170.0,
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,20,1.576.376.411.542,2.363.816.989.618,,338.0,20.0,1576376411542.0,2363816989618.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.264.434.907.961,4.132.388.056.756,,400.0,,4264434907961.0,4132388056756.0
I.,I.,I.,Vốn chủ sở hữu,410,21,4.264.434.907.961,4.132.388.056.756,,410.0,21.0,4264434907961.0,4132388056756.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.000.000.000.000,3.000.000.000.000,,411.0,,3000000000000.0,3000000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.000.000.000.000,3.000.000.000.000,,,,3000000000000.0,3000000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,835.287.500.000,835.287.500.000,,412.0,,835287500000.0,835287500000.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,5.000.000.000,5.000.000.000,,418.0,,5000000000.0,5000000000.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,424.147.407.961,292.100.556.756,,421.0,,424147407961.0,292100556756.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,-,4.377.916.987,,,,,4377916987.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,424.147.407.961,287.722.639.769,,,,424147407961.0,287722639769.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,7.613.907.994.740,8.527.161.720.510,,440.0,,7613907994740.0,8527161720510.0
