row_label_raw,row_label_full,col_0,Phàn mèmmáy tínhVND,numeric__Phàn mèmmáy tínhVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,88.400.000,88400000.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,6.194.352.000,6194352000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.282.752.000,6282752000.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,88.400.000,88400000.0
Hao mòn trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Hao mòn trong năm,Hao mòn trong năm,416.696.226,416696226.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,202.738.974,202738974.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,707.835.200,707835200.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,-,
Tại ngày cuối năm,Tại ngày đầu năm > Tại ngày cuối năm,Tại ngày cuối năm,5.574.916.800,5574916800.0
