row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.218.700.000.000,-,5.000.000.000,26.564.916.987,2.250.264.916.987,2218700000000.0,,5000000000.0,26564916987.0,2250264916987.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,781.300.000.000,835.287.500.000,-,-,1.616.587.500.000,781300000000.0,835287500000.0,,,1616587500000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,376.470.639.769,376.470.639.769,,,,376470639769.0,376470639769.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(110.935.000.000),(110.935.000.000),,,,-110935000000.0,-110935000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,835.287.500.000,5.000.000.000,292.100.556.756,4.132.388.056.756,3000000000000.0,835287500000.0,5000000000.0,292100556756.0,4132388056756.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,835.287.500.000,5.000.000.000,292.100.556.756,4.132.388.056.756,3000000000000.0,835287500000.0,5000000000.0,292100556756.0,4132388056756.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,912.546.851.205,912.546.851.205,,,,912546851205.0,912546851205.0
Cổ tức công bố (i),Cổ tức công bố (i),Cổ tức công bố (i),-,-,-,(780.000.000.000),(780.000.000.000),,,,-780000000000.0,-780000000000.0
Trích quỹ khen thưởng phúc lợi (ii),Trích quỹ khen thưởng phúc lợi (ii),Trích quỹ khen thưởng phúc lợi (ii),-,-,-,(500.000.000),(500.000.000),,,,-500000000.0,-500000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,835.287.500.000,5.000.000.000,424.147.407.961,4.264.434.907.961,3000000000000.0,835287500000.0,5000000000.0,424147407961.0,4264434907961.0
