row_label_raw,row_label_full,Tên ngân hàng và tổ chức > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Hợp đồng tín dụng số 45/HĐTD ngày26/02/2011 và văn bản sửa đổi hợp đồng tín dụng ngày 19/05/2014 > Hợp đồng tín dụng dài hạn số 220/HĐTD ngày19/7/2010 và văn bản sửa đổi bổ sung hợp đồng tín dụng ngày20/06/2014,Số tiền > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > 626.581.403.555 > 48.283.000.000,"Thời hạn thanh toán và ngày đáo hạn > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Thời hạn vay là 13,5 năm kể từ ngày nhận tiền vay lần đầu. Thời gian ân hạn: 4,5 năm, từ ngày giải ngân khoản vay đầu tiên (từ ngày 03/06/2011 đến ngày 03/12/2015) > Thời hạn vay là 10 năm kể từ ngày giải ngân khoản vay đầu tiên, thời gian ân hạn là 2 năm",Lãi suất > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Lãi suất áp dụng theo lãi suất điều chỉnh. > Lãi suất vay áp dụng theo lãi suất thả nổi (lãi suất vay thả nổi = lãi suất cơ sở + biên độ 4%/năm).,"Tài sản thế chấp(Thuyết minh số V.10, V.11, V.12) > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Quyền tài sản phát sinh từ hợp đồng BOT số 01/HĐBOT ngày 01/09/2010 và các phụ lục kèm theo được ký kết giữa Ủy ban Nhân dân Tinh Đắk Nông với Công ty Cổ phần BOT và BT Đức Long Đắk Nông; Toàn bộ quyền khai thác, thu phí các trạm thu phí đoạn Km 817 – Km 887 trên quốc lộ 14 tỉnh Đắk Nông; Các tài sản khác phát sinh từ ưu đãi đầu tư theo hợp đồng BOT > Quyền sử dụng đất và toàn bộ tài sản gắn liền với đất, hiện đã hoàn thành và là TSCĐ và BDS của Tập đoàn.",numeric__Số tiền > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > 626.581.403.555 > 48.283.000.000,"numeric__Thời hạn thanh toán và ngày đáo hạn > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Thời hạn vay là 13,5 năm kể từ ngày nhận tiền vay lần đầu. Thời gian ân hạn: 4,5 năm, từ ngày giải ngân khoản vay đầu tiên (từ ngày 03/06/2011 đến ngày 03/12/2015) > Thời hạn vay là 10 năm kể từ ngày giải ngân khoản vay đầu tiên, thời gian ân hạn là 2 năm",numeric__Lãi suất > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Lãi suất áp dụng theo lãi suất điều chỉnh. > Lãi suất vay áp dụng theo lãi suất thả nổi (lãi suất vay thả nổi = lãi suất cơ sở + biên độ 4%/năm).,"numeric__Tài sản thế chấp(Thuyết minh số V.10, V.11, V.12) > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Quyền tài sản phát sinh từ hợp đồng BOT số 01/HĐBOT ngày 01/09/2010 và các phụ lục kèm theo được ký kết giữa Ủy ban Nhân dân Tinh Đắk Nông với Công ty Cổ phần BOT và BT Đức Long Đắk Nông; Toàn bộ quyền khai thác, thu phí các trạm thu phí đoạn Km 817 – Km 887 trên quốc lộ 14 tỉnh Đắk Nông; Các tài sản khác phát sinh từ ưu đãi đầu tư theo hợp đồng BOT > Quyền sử dụng đất và toàn bộ tài sản gắn liền với đất, hiện đã hoàn thành và là TSCĐ và BDS của Tập đoàn."
Tổng cộng,Tổng cộng,Tổng cộng,674.864.403.555,,,,674864403555.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn:,Trong đó: > Vay dài hạn:,Vay dài hạn:,370.281.403.555,,,,370281403555.0,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,304.583.000.000,,,,304583000000.0,,,
