row_label_raw,row_label_full,Giá trị đầu năm > Tăng trong năm > Phân bổ trong năm,Năm nay > 327.911.218.096 > - > (50.593.791.496),Năm trước > 196.758.637.842 > 171.287.377.551 > (40.593.323.830),numeric__Năm nay > 327.911.218.096 > - > (50.593.791.496),numeric__Năm trước > 196.758.637.842 > 171.287.377.551 > (40.593.323.830)
Ảnh hưởng do chuyển đổi báo cáo,Ảnh hưởng do chuyển đổi báo cáo,Ảnh hưởng do chuyển đổi báo cáo,(3.865.347.851),458.526.533,-3865347851.0,458526533.0
Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,(18.337.603.622),-,-18337603622.0,
Cộng,Cộng,Cộng,255.114.475.127,327.911.218.096,255114475127.0,327911218096.0
