row_label_raw,row_label_full,Chỉ tiêu > 1. Số dư đầu năm trước > 2. Tăng trong năm trước > - Lãi trong năm,Vốn đầu tư của chủ sở hữu > 2.993.097.200.000 > -,Thặng dư vốn cổ phần > 50.510.908.328 > -,Chênh lệch tỷ giả hối doài > 9.217.947.940 > 2.258.353.443,Quỹ Đầu tư phát triển > 6.196.436.959 > -,Lợi nhuận sau thuế chưa phân phối > 38.549.518.850 > -,Lợi ích cổ đông không kiểm soát (*) > 334.688.789.292 > 4.377.125.640 > -,Cộng > 3.432.260.801.369 > 6.635.479.083 > -,numeric__Vốn đầu tư của chủ sở hữu > 2.993.097.200.000 > -,numeric__Thặng dư vốn cổ phần > 50.510.908.328 > -,numeric__Chênh lệch tỷ giả hối doài > 9.217.947.940 > 2.258.353.443,numeric__Quỹ Đầu tư phát triển > 6.196.436.959 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 38.549.518.850 > -,numeric__Lợi ích cổ đông không kiểm soát (*) > 334.688.789.292 > 4.377.125.640 > -,numeric__Cộng > 3.432.260.801.369 > 6.635.479.083 > -
- Tăng do thay đổi ty lệ sở hữu,- Tăng do thay đổi ty lệ sở hữu,- Tăng do thay đổi ty lệ sở hữu,-,-,-,-,-,35.067,35.067,,,,,,35067.0,35067.0
- Tăng từ hợp nhất công ty con,- Tăng từ hợp nhất công ty con,- Tăng từ hợp nhất công ty con,-,,,-,-,4.324.635.217,4.324.635.217,,,,,,4324635217.0,4324635217.0
- Chênh lệch ty giá chuyên đối Bảo cáo tài chính,- Chênh lệch ty giá chuyên đối Bảo cáo tài chính,- Chênh lệch ty giá chuyên đối Bảo cáo tài chính,-,-,2.258.353.443,-,,52.455.356,2.310.808.799,,,2258353443.0,,,52455356.0,2310808799.0
3. Giảm trong năm trước,3. Giảm trong năm trước,3. Giảm trong năm trước,-,-,-,-,(905.546.226.535),(23.503.602.645),(929.049.829.180),,,,,-905546226535.0,-23503602645.0,-929049829180.0
- Lỗ trong năm,- Lỗ trong năm,- Lỗ trong năm,-,-,-,-,(905.546.191.468),(23.063.022.934),(928.609.214.402),,,,,-905546191468.0,-23063022934.0,-928609214402.0
- Chênh lệch ty giá chuyên đối Bảo cáo tài chính,- Chênh lệch ty giá chuyên đối Bảo cáo tài chính,- Chênh lệch ty giá chuyên đối Bảo cáo tài chính,-,-,-,-,-,-,-,,,,,,,
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,,,-,-,-,-,,,,,,,
- Giảm do thoại vốn Công ty con,- Chia cổ tức > - Giảm do thoại vốn Công ty con,- Giảm do thoại vốn Công ty con,-,,,-,-,(440.579.711),(440.579.711),,,,,,-440579711.0,-440579711.0
- Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,-,,,-,-,-,-,,,,,,,
- Trích quỹ ban điều hành,- Trích quỹ ban điều hành,- Trích quỹ ban điều hành,-,,,-,-,-,-,,,,,,,
- Giảm khác,- Trích quỹ ban điều hành > - Giảm khác,- Giảm khác,-,-,-,-,(35.067),-,(35.067),,,,,-35067.0,,-35067.0
"4. Số dư cuối năm trước, đầu năm nay","- Trích quỹ ban điều hành > 4. Số dư cuối năm trước, đầu năm nay","4. Số dư cuối năm trước, đầu năm nay",2.993.097.200.000,50.510.908.328,11.476.301.383,6.196.436.959,(866.996.707.685),315.562.312.287,2.509.846.451.272,2993097200000.0,50510908328.0,11476301383.0,6196436959.0,-866996707685.0,315562312287.0,2509846451272.0
5. Tăng trong năm,- Trích quỹ ban điều hành > 5. Tăng trong năm,5. Tăng trong năm,-,-,-,-,16.673.387.564,(4.880.785.619),11.792.601.945,,,,,16673387564.0,-4880785619.0,11792601945.0
- Tăng từ kết quả kinh doanh,- Trích quỹ ban điều hành > - Tăng từ kết quả kinh doanh,- Tăng từ kết quả kinh doanh,-,-,-,-,16.673.387.564,(4.880.785.619),11.792.601.945,,,,,16673387564.0,-4880785619.0,11792601945.0
6. Giảm trong năm,- Trích quỹ ban điều hành > 6. Giảm trong năm,6. Giảm trong năm,-,-,(24.198.445.802),-,(41.787.470),(178.563.844.834),(202.804.078.106),,,-24198445802.0,,-41787470.0,-178563844834.0,-202804078106.0
- Chia cổ tức,- Trích quỹ ban điều hành > - Chia cổ tức,- Chia cổ tức,-,,-,-,-,(269.010.000),(269.010.000),,,,,,-269010000.0,-269010000.0
- Trích Quỹ khen thưởng phúc lợi,- Trích quỹ ban điều hành > - Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,-,-,-,-,(41.787.470),(40.148.745),(81.936.215),,,,,-41787470.0,-40148745.0,-81936215.0
