row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh
,,,(1),(2),(3),(2)+(3),-1.0,-2.0,-3.0,
Kết quả kinh Doanh,Kết quả kinh Doanh,Kết quả kinh Doanh,Kết quả kinh Doanh,Kết quả kinh Doanh,Kết quả kinh Doanh,Kết quả kinh Doanh,,,,
- Chi phí quản lý doanh nghiệp,Kết quả kinh Doanh > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,26,523.623.653.522,(427.250.000),523.196.403.522,26.0,523623653522.0,-427250000.0,523196403522.0
- Lợi nhuận thuần từ hoạt động kinh doanh,Kết quả kinh Doanh > - Lợi nhuận thuần từ hoạt động kinh doanh,- Lợi nhuận thuần từ hoạt động kinh doanh,30,(828.805.773.340),427.250.000,(828.378.523.340),30.0,-828805773340.0,427250000.0,-828378523340.0
- Tổng lợi nhuận kế toán trước thuế,Kết quả kinh Doanh > - Tổng lợi nhuận kế toán trước thuế,- Tổng lợi nhuận kế toán trước thuế,50,(861.262.526.806),427.250.000,(860.835.276.806),50.0,-861262526806.0,427250000.0,-860835276806.0
- Chi phí thuế thu nhập doanh nghiệp hoãn lại,Kết quả kinh Doanh > - Chi phí thuế thu nhập doanh nghiệp hoãn lại,- Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,54.867.646.714,(756.696.563),54.110.950.151,52.0,54867646714.0,-756696563.0,54110950151.0
- Lợi nhuận sau thuế thu nhập doanh nghiệp,Kết quả kinh Doanh > - Lợi nhuận sau thuế thu nhập doanh nghiệp,- Lợi nhuận sau thuế thu nhập doanh nghiệp,60,(929.777.523.426),1.183.946.563,(928.593.576.863),60.0,-929777523426.0,1183946563.0,-928593576863.0
- Lợi nhuận sau thuế của công ty mẹ,Kết quả kinh Doanh > - Lợi nhuận sau thuế của công ty mẹ,- Lợi nhuận sau thuế của công ty mẹ,61,(906.601.509.499),1.055.318.030,(905.546.191.469),61.0,-906601509499.0,1055318030.0,-905546191469.0
- Lợi nhuận sau thuế của cổ đông không kiểm soát,Kết quả kinh Doanh > - Lợi nhuận sau thuế của cổ đông không kiểm soát,- Lợi nhuận sau thuế của cổ đông không kiểm soát,62,(23.176.013.927),128.628.533,(23.047.385.394),62.0,-23176013927.0,128628533.0,-23047385394.0
- Lãi cơ bản trên cổ phiếu,Kết quả kinh Doanh > - Lãi cơ bản trên cổ phiếu,- Lãi cơ bản trên cổ phiếu,70,(3.029),4,(3.025),70.0,-3029.0,4.0,-3025.0
- Lãi suy giảm trên cổ phiếu,Kết quả kinh Doanh > - Lãi suy giảm trên cổ phiếu,- Lãi suy giảm trên cổ phiếu,71,(3.029),4,(3.025),71.0,-3029.0,4.0,-3025.0
