row_label_raw,row_label_full,Lĩnh vực,Doanh thu thuần,Giá vốn,Lợi nhuận gộp,numeric__Doanh thu thuần,numeric__Giá vốn,numeric__Lợi nhuận gộp
- Buôn bán lĩnh kiện điện tử,- Buôn bán lĩnh kiện điện tử,- Buôn bán lĩnh kiện điện tử,1.245.547.244.961,1.070.996.789.142,174.550.455.819,1245547244961.0,1070996789142.0,174550455819.0
- Đá Granitte,- Đá Granitte,- Đá Granitte,131.210.560.700,130.806.652.635,403.908.065,131210560700.0,130806652635.0,403908065.0
- Sản phẩm nông nghiệp,- Sản phẩm nông nghiệp,- Sản phẩm nông nghiệp,79.688.704.726,83.607.099.941,(3.918.395.215),79688704726.0,83607099941.0,-3918395215.0
- Điện thương phẩm,- Điện thương phẩm,- Điện thương phẩm,28.690.865.752,11.124.416.281,17.566.449.471,28690865752.0,11124416281.0,17566449471.0
- Buôn bán phân bón,- Buôn bán phân bón,- Buôn bán phân bón,93.315.770.000,113.884.818.000,(20.569.048.000),93315770000.0,113884818000.0,-20569048000.0
"- Bán gỗ, thành phẩm từ gỗ","- Bán gỗ, thành phẩm từ gỗ","- Bán gỗ, thành phẩm từ gỗ",11.024.300.297,34.589.597.262,(23.565.296.965),11024300297.0,34589597262.0,-23565296965.0
- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,374.853.607.257,145.998.834.205,228.854.773.052,374853607257.0,145998834205.0,228854773052.0
- Doanh thu cho thuê tài sản,- Doanh thu cho thuê tài sản,- Doanh thu cho thuê tài sản,5.134.529.014,3.913.125.322,1.221.403.692,5134529014.0,3913125322.0,1221403692.0
- Dịch vụ bến xe,- Dịch vụ bến xe,- Dịch vụ bến xe,802.345.442,100.000.000,702.345.442,802345442.0,100000000.0,702345442.0
- Doanh thu Xây lắp,- Doanh thu Xây lắp,- Doanh thu Xây lắp,4.315.112.999,4.315.112.999,-,4315112999.0,4315112999.0,
- Doanh thu bán bắt động sản đầu tư,- Doanh thu bán bắt động sản đầu tư,- Doanh thu bán bắt động sản đầu tư,57.176.000.000,66.819.517.973,(9.643.517.973),57176000000.0,66819517973.0,-9643517973.0
"- Bán hàng, dịch vụ khác","- Bán hàng, dịch vụ khác","- Bán hàng, dịch vụ khác",2.732.461.516,4.023.413.899,(1.290.952.383),2732461516.0,4023413899.0,-1290952383.0
Cộng,Cộng,Cộng,2.034.491.502.664,1.670.179.377.659,364.312.125.005,2034491502664.0,1670179377659.0,364312125005.0
