row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,Vườn cây,Tài sản khác (Dự án BOT),Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị dụng cụ quản lý,numeric__Vườn cây,numeric__Tài sản khác (Dự án BOT),numeric__Cộng
I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,,,,,,,,,,,,,,
1. Số dư đầu năm,I. Nguyên giá TSCĐ hữu hình > 1. Số dư đầu năm,1. Số dư đầu năm,761.039.379.894,923.643.460.073,57.542.414.786,99.871.939.564,546.300.226.206,2.426.112.709.413,4.814.510.129.936,761039379894.0,923643460073.0,57542414786.0,99871939564.0,546300226206.0,2426112709413.0,4814510129936.0
2. Tăng trong năm,I. Nguyên giá TSCĐ hữu hình > 2. Tăng trong năm,2. Tăng trong năm,5.722.419.038,10.362.128.478,-,518.044.101,-,320.000.000,16.922.591.617,5722419038.0,10362128478.0,,518044101.0,,320000000.0,16922591617.0
- Tăng do mua mới,I. Nguyên giá TSCĐ hữu hình > - Tăng do mua mới,- Tăng do mua mới,5.722.419.038,10.251.726.660,-,518.044.101,-,-,16.492.189.799,5722419038.0,10251726660.0,,518044101.0,,,16492189799.0
- Tăng khác,I. Nguyên giá TSCĐ hữu hình > - Tăng khác,- Tăng khác,-,110.401.818,-,-,-,320.000.000,430.401.818,,110401818.0,,,,320000000.0,430401818.0
3. Giảm trong năm,I. Nguyên giá TSCĐ hữu hình > 3. Giảm trong năm,3. Giảm trong năm,(166.694.046.906),(57.798.792.434),(28.318.758.119),(3.736.980.970),(369.802.644.751),-,(626.351.223.180),-166694046906.0,-57798792434.0,-28318758119.0,-3736980970.0,-369802644751.0,,-626351223180.0
"- Thanh lý, nhượng bán","I. Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(693.191.940),(7.072.648.181),-,-,-,(7.765.840.121),,-693191940.0,-7072648181.0,,,,-7765840121.0
- Chênh lệch do chuyên đối BCTC,I. Nguyên giá TSCĐ hữu hình > - Chênh lệch do chuyên đối BCTC,- Chênh lệch do chuyên đối BCTC,(802.457.340),(19.679.132.620),(247.086.925),(3.158.483.516),-,-,(23.887.160.401),-802457340.0,-19679132620.0,-247086925.0,-3158483516.0,,,-23887160401.0
- Giảm do thoái vốn công tv con cấp 2,I. Nguyên giá TSCĐ hữu hình > - Giảm do thoái vốn công tv con cấp 2,- Giảm do thoái vốn công tv con cấp 2,(165.781.187.748),(37.426.467.874),(20.999.023.013),(258.497.454),(369.802.644.751),-,(594.267.820.840),-165781187748.0,-37426467874.0,-20999023013.0,-258497454.0,-369802644751.0,,-594267820840.0
- Giảm khác,I. Nguyên giá TSCĐ hữu hình > - Giảm khác,- Giảm khác,(110.401.818),-,-,(320.000.000),-,-,(430.401.818),-110401818.0,,,-320000000.0,,,-430401818.0
4. Số dư cuối năm,I. Nguyên giá TSCĐ hữu hình > 4. Số dư cuối năm,4. Số dư cuối năm,600.067.752.026,876.206.796.117,29.223.656.667,96.653.002.695,176.497.581.455,2.426.432.709.413,4.205.081.498.373,600067752026.0,876206796117.0,29223656667.0,96653002695.0,176497581455.0,2426432709413.0,4205081498373.0
