row_label_raw,row_label_full,Chi tiết gồm:,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
- USD,- USD,- USD,2.586.766,"2.902.822,62",2586766.0,2902822.62
- EUR,- EUR,- EUR,-,"1.781,98",,1781.98
- RMB,- RMB,- RMB,1.100.228,"380.588,00",1100228.0,380588.0
- KRW,- KRW,- KRW,4.006.072,"177.109.267,00",4006072.0,177109267.0
Nợ khó đòi đã xóa,Nợ khó đòi đã xóa,Nợ khó đòi đã xóa,Nợ khó đòi đã xóa,Nợ khó đòi đã xóa,,
Chi tiết gồm:,Chi tiết gồm:,Chi tiết gồm:,Số cuối năm,Số đầu năm,,
- Vachetti Giuseppe S.P.A,Chi tiết gồm: > - Vachetti Giuseppe S.P.A,- Vachetti Giuseppe S.P.A,636.431.769,636.431.769,636431769.0,636431769.0
- Công ty TNHH Nam Thuận,Chi tiết gồm: > - Công ty TNHH Nam Thuận,- Công ty TNHH Nam Thuận,533.661.700,533.661.700,533661700.0,533661700.0
- Các khách hàng khác,Chi tiết gồm: > - Các khách hàng khác,- Các khách hàng khác,8.120.402.035,8.120.402.035,8120402035.0,8120402035.0
Cộng,Chi tiết gồm: > Cộng,Cộng,9.290.495.504,9.290.495.504,9290495504.0,9290495504.0
