row_label_raw,row_label_full,STT,Tên công ty,Tại ngày cuối năm,Tại ngày cuối năm_1,Tại ngày cuối năm_2,Tại ngày đầu năm,Tại ngày đầu năm_1,Tại ngày đầu năm_2,numeric__Tên công ty,numeric__Tại ngày cuối năm,numeric__Tại ngày cuối năm_1,numeric__Tại ngày cuối năm_2,numeric__Tại ngày đầu năm,numeric__Tại ngày đầu năm_1,numeric__Tại ngày đầu năm_2
STT,STT,STT,Tên công ty,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,,,,,,,
1.,STT > 1.,1.,Công ty CP Năng lượng Tân Thượng,0%,0%,0%,88%,88%,88%,,0.0,0.0,0.0,0.88,0.88,0.88
2.,STT > 2.,2.,Công ty CP Đầu tư và Kinh doanh Bất động sản Đức Long Gia Lai,0%,0%,0%,"84,03%","84,03%","84,03%",,0.0,0.0,0.0,0.8403,0.8403,0.8403
3.,STT > 3.,3.,Công ty CP Cà phê Gia Lai,0%,0%,0%,51%,51%,51%,,0.0,0.0,0.0,0.51,0.51,0.51
4.,STT > 4.,4.,Công ty CP Chè Biển Hồ,0%,0%,0%,51%,51%,51%,,0.0,0.0,0.0,0.51,0.51,0.51
