row_label_raw,row_label_full,Đầu tư vào đơn vị khác,Số cuối năm > Giá gốc > 480.000.000,Số cuối năm > Giá trị hợp lý(*) > -,Số cuối năm > Dự phòng > (480.000.000),Số đầu năm > Giá gốc > 480.000.000,Số đầu năm > Giá trị hợp lý(*) > -,Số đầu năm > Dự phòng > (480.000.000),numeric__Số cuối năm > Giá gốc > 480.000.000,numeric__Số cuối năm > Giá trị hợp lý(*) > -,numeric__Số cuối năm > Dự phòng > (480.000.000),numeric__Số đầu năm > Giá gốc > 480.000.000,numeric__Số đầu năm > Giá trị hợp lý(*) > -,numeric__Số đầu năm > Dự phòng > (480.000.000)
Công ty CP Dịch vụ,Công ty CP Dịch vụ,Công ty CP Dịch vụ,,,,,,,,,,,,
Công Cộng Đức Long,Công ty CP Dịch vụ > Công Cộng Đức Long,Công Cộng Đức Long,480.000.000,-,(480.000.000),480.000.000,-,(480.000.000),480000000.0,,-480000000.0,480000000.0,,-480000000.0
Bảo Lộc,Bảo Lộc,Bảo Lộc,,,,,,,,,,,,
Cộng,Bảo Lộc > Cộng,Cộng,480.000.000,-,(480.000.000),480.000.000,-,(480.000.000),480000000.0,,-480000000.0,480000000.0,,-480000000.0
