row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > Phải nộp,Số đầu năm > Phải thu,Số phát sinh trong năm > Số phải nộp,Số phát sinh trong năm > Số đã nộp,Tăng khác (*),Thay đổi do chênh lệch tỷ giả,Giảm do thoái vốn công ty con,Số cuối năm > Phải nộp,Số cuối năm > Phải thu,numeric__Số đầu năm > Phải nộp,numeric__Số đầu năm > Phải thu,numeric__Số phát sinh trong năm > Số phải nộp,numeric__Số phát sinh trong năm > Số đã nộp,numeric__Tăng khác (*),numeric__Thay đổi do chênh lệch tỷ giả,numeric__Giảm do thoái vốn công ty con,numeric__Số cuối năm > Phải nộp,numeric__Số cuối năm > Phải thu
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,7.972.351.356,-,37.458.124.151,(35.957.908.853),-,-,(203.475.212),9.269.091.442,-,7972351356.0,,37458124151.0,-35957908853.0,,,-203475212.0,9269091442.0,
Thuế GTGT xuất nhập khẩu,Thuế GTGT xuất nhập khẩu,Thuế GTGT xuất nhập khẩu,-,-,-,-,-,-,-,-,-,,,,,,,,,
Thuế GTGT nhà thầu,Thuế GTGT nhà thầu,Thuế GTGT nhà thầu,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,-,-,-,-,-,-,-,,,,,,,,,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,-,-,-,-,-,-,-,-,,,,,,,,,
Thuế thu nhập doanh nghiệp,Thuế tiêu thụ đặc biệt > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,64.112.708.746,339.052.962,8.089.230.124,(4.470.396.728),442.376.541,(118.768.628),(320.220.741),68.036.317.834,-,64112708746.0,339052962.0,8089230124.0,-4470396728.0,442376541.0,-118768628.0,-320220741.0,68036317834.0,
Thuế thu nhập cá nhân,Thuế tiêu thụ đặc biệt > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.708.601.528,45.581.571,457.770.658,(376.834.170),-,-,(57.323.556),1.748.498.826,2.912.617,1708601528.0,45581571.0,457770658.0,-376834170.0,,,-57323556.0,1748498826.0,2912617.0
"Thuế nhà đất, thuê đất","Thuế tiêu thụ đặc biệt > Thuế nhà đất, thuê đất","Thuế nhà đất, thuê đất",4.697.806.438,29.511.936,3.722.667.531,(5.115.833.280),-,-,(974.108.462),2.302.327.746,1.247.455,4697806438.0,29511936.0,3722667531.0,-5115833280.0,,,-974108462.0,2302327746.0,1247455.0
Thuế tài nguyên,Thuế tiêu thụ đặc biệt > Thuế tài nguyên,Thuế tài nguyên,2.368.513.121,-,8.220.230.949,(5.948.293.438),-,-,(4.280.105.186),360.345.446,-,2368513121.0,,8220230949.0,-5948293438.0,,,-4280105186.0,360345446.0,
Thuế môn bài,Thuế tiêu thụ đặc biệt > Thuế môn bài,Thuế môn bài,-,-,237.304.963,(237.304.963),-,-,-,-,-,,,237304963.0,-237304963.0,,,,,
Thuế BVMT,Thuế tiêu thụ đặc biệt > Thuế BVMT,Thuế BVMT,23.733.324,-,1.955.492.203,(1.942.314.619),-,-,(19.369.980),17.540.928,-,23733324.0,,1955492203.0,-1942314619.0,,,-19369980.0,17540928.0,
Khoản thuế khác,Thuế tiêu thụ đặc biệt > Khoản thuế khác,Khoản thuế khác,5.076.706.162,131.510,2.771.988.835,(4.792.760.639),-,-,(89.258.677),2.966.544.171,-,5076706162.0,131510.0,2771988835.0,-4792760639.0,,,-89258677.0,2966544171.0,
Tổng,Thuế tiêu thụ đặc biệt > Tổng,Tổng,85.960.420.675,414.277.979,62.912.809.414,(58.841.646.690),442.376.541,(118.768.628),(5.943.861.814),84.700.666.393,4.160.072,85960420675.0,414277979.0,62912809414.0,-58841646690.0,442376541.0,-118768628.0,-5943861814.0,84700666393.0,4160072.0
