row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm/chuyển sang nợ dài hạn đến hạn trả,Số tiền vay đã trả trong năm,Ảnh hưởng do thoái vốn công ty con,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm/chuyển sang nợ dài hạn đến hạn trả,numeric__Số tiền vay đã trả trong năm,numeric__Ảnh hưởng do thoái vốn công ty con,numeric__Số cuối năm
- Vay dài hạn ngân hàng và tổ chức khác,- Vay dài hạn ngân hàng và tổ chức khác,- Vay dài hạn ngân hàng và tổ chức khác,2.335.589.698.995,(213.831.058.000),-,(282.606.527.255),1.839.152.113.740,2335589698995.0,-213831058000.0,,-282606527255.0,1839152113740.0
- Vay dài hạn cá nhân,- Vay dài hạn cá nhân,- Vay dài hạn cá nhân,138.224.388.100,(138.224.388.100),-,,-,138224388100.0,-138224388100.0,,,
- Vay dài hạn trái phiếu thường,- Vay dài hạn trái phiếu thường,- Vay dài hạn trái phiếu thường,112.965.136.679,518.560.004,-,,113.483.696.683,112965136679.0,518560004.0,,,113483696683.0
Cộng,Cộng,Cộng,2.586.779.223.774,(351.536.886.096),-,(282.606.527.255),1.952.635.810.423,2586779223774.0,-351536886096.0,,-282606527255.0,1952635810423.0
