row_label_raw,row_label_full,Chi tiết gồm:,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,1.202.203.772.562,1.594.161.627.598,1202203772562.0,1594161627598.0
- Doanh thu bán linh kiện điện tử,- Doanh thu bán linh kiện điện tử,- Doanh thu bán linh kiện điện tử,974.121.623.367,1.250.199.607.941,974121623367.0,1250199607941.0
- Doanh thu bán đá,- Doanh thu bán đá,- Doanh thu bán đá,46.958.394.600,131.210.560.700,46958394600.0,131210560700.0
- Doanh thu sản phẩm nông nghiệp,- Doanh thu sản phẩm nông nghiệp,- Doanh thu sản phẩm nông nghiệp,54.205.114.314,79.688.704.726,54205114314.0,79688704726.0
- Doanh thu bán điện thương phẩm,- Doanh thu bán điện thương phẩm,- Doanh thu bán điện thương phẩm,69.381.535.720,28.690.865.752,69381535720.0,28690865752.0
- Doanh thu bán phân bón,- Doanh thu bán phân bón,- Doanh thu bán phân bón,49.229.437.400,93.315.770.000,49229437400.0,93315770000.0
"- Doanh thu bán gỗ, thành phẩm từ gỗ","- Doanh thu bán gỗ, thành phẩm từ gỗ","- Doanh thu bán gỗ, thành phẩm từ gỗ",8.264.644.433,11.024.300.297,8264644433.0,11024300297.0
- Doanh thu khác,- Doanh thu khác,- Doanh thu khác,43.022.728,31.818.182,43022728.0,31818182.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,347.004.165.230,380.790.481.713,347004165230.0,380790481713.0
- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,341.064.758.635,374.853.607.257,341064758635.0,374853607257.0
- Doanh thu cho thuê tài sản,- Doanh thu cho thuê tài sản,- Doanh thu cho thuê tài sản,4.419.114.967,5.134.529.014,4419114967.0,5134529014.0
- Dịch vụ bến xe,- Dịch vụ bến xe,- Dịch vụ bến xe,452.636.323,802.345.442,452636323.0,802345442.0
Doanh thu Xây lắp,Doanh thu Xây lắp,Doanh thu Xây lắp,-,4.315.112.999,,4315112999.0
Doanh thu bán bắt động sản đầu tư,Doanh thu bán bắt động sản đầu tư,Doanh thu bán bắt động sản đầu tư,-,57.176.000.000,,57176000000.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,1.067.655.305,2.700.643.334,1067655305.0,2700643334.0
Cộng,Cộng,Cộng,1.549.207.937.792,2.039.143.865.644,1549207937792.0,2039143865644.0
