row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tại ngày cuối năm,Tại ngày cuối năm_1,Tại ngày đầu năm,Tại ngày đầu năm_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Tên công ty,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tại ngày cuối năm,numeric__Tại ngày cuối năm_1,numeric__Tại ngày đầu năm,numeric__Tại ngày đầu năm_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
STT,STT,STT,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,,,,,,,,,
1.,STT > 1.,1.,Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,"170 Trường Chinh, Phường Trà Bá, Thành phố Pleiku, Tỉnh Gia Lai","Tư vấn và đầu tư xây dựng các công trình giao thông, hạ tầng đô thị; Khảo sát địa hình, địa chất, thủy văn; Lập dự án khả thi, tiền khả thi, báo cáo đầu tư; Thiết kế kỹ thuật, bản về thi công, tổng dự toán, lập dự toán; Giám sát kỹ thuật thi công, quản lý dự án; Thi công xây lắp các công trình; Tư vấn đầu tư xây dựng các công trình xây dựng khác","20,00%","20,00%","20,00%","20,00%","20,00%","20,00%",,,,0.2,0.2,0.2,0.2,0.2,0.2
2.,STT > 2.,2.,Công ty CP Đức Long Tây Nguyên,"117-119-121 Trần Phú, Phường Diên Hồng, Thành phố Pleiku, Tỉnh Gia Lai","Sản xuất sắt, thép, gang; Trồng rừng và chăm sóc rừng; Trồng cây cao su; Khai thác quặng kim loại khác không chứa sắt; Khai thác quặng sắt; Khai thác đá, cát sỏi, đất sét; Chăn nuôi trâu, bò; Sản xuất xi măng, vòi và thạch cao; Đức sắt thép; Cắt tạo dáng và hoàn thiện đá; Sản xuất kim loại màu và kim loại quý; Đức kim loại màu; Chăn nuôi dê, cứu; Chăn nuôi lợn.","40,00%","40,00%",0%,"40,00%","40,00%",0%,,,,0.4,0.4,0.0,0.4,0.4,0.0
