row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty CP tư vấn và Xây dựng Giao thông Gia Lai,Công ty CP tư vấn và Xây dựng Giao thông Gia Lai,Công ty CP tư vấn và Xây dựng Giao thông Gia Lai,Công ty liên kết,
Công ty CP Đức Long Tây Nguyên,Công ty CP Đức Long Tây Nguyên,Công ty CP Đức Long Tây Nguyên,Công ty liên kết,
Công ty CP DLG CY Việt Nam,Công ty CP DLG CY Việt Nam,Công ty CP DLG CY Việt Nam,Công ty liên kết,
Công ty CP Dịch vụ Công Cộng Đức Long Báo Lộc,Công ty CP Dịch vụ Công Cộng Đức Long Báo Lộc,Công ty CP Dịch vụ Công Cộng Đức Long Báo Lộc,Công ty nhận đầu tư,
Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Chung chủ tịch HĐQT,
Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Chung thành viên lãnh đạo điều hành,
Công ty CP Tập đoàn Alpha Seven,Công ty CP Tập đoàn Alpha Seven,Công ty CP Tập đoàn Alpha Seven,Chung cổ đông lớn,
Công ty TNHH Điện Từ DLG Asen,Công ty TNHH Điện Từ DLG Asen,Công ty TNHH Điện Từ DLG Asen,Công ty con của Công ty CP Tập đoàn Alpha Seven,
Ông Bùi Pháp,Ông Bùi Pháp,Ông Bùi Pháp,Chủ tịch HĐQT,
Bà Nguyễn Thị Hương,Bà Nguyễn Thị Hương,Bà Nguyễn Thị Hương,Người có liên quan đến Ông Bùi Pháp,
