row_label_raw,row_label_full,Chỉ tiêu,Quyền sử dụng đất,Phần mềm máy tính,Chỉ phí triển khai,Quan hệ khách hàng khế ước,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Chỉ phí triển khai,numeric__Quan hệ khách hàng khế ước,numeric__Cộng
I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,,,,,,,,,,
1. Số dư đầu năm,I. Nguyên giá TSCĐ hữu hình > 1. Số dư đầu năm,1. Số dư đầu năm,23.185.465.930,463.856.500,204.509.963.823,33.498.987.500,261.658.273.753,23185465930.0,463856500.0,204509963823.0,33498987500.0,261658273753.0
2. Tăng trong năm,I. Nguyên giá TSCĐ hữu hình > 2. Tăng trong năm,2. Tăng trong năm,-,-,14.581.964.535,-,14.581.964.535,,,14581964535.0,,14581964535.0
- Tăng do mua mới,I. Nguyên giá TSCĐ hữu hình > - Tăng do mua mới,- Tăng do mua mới,-,-,14.581.964.535,-,14.581.964.535,,,14581964535.0,,14581964535.0
3. Giảm trong năm,I. Nguyên giá TSCĐ hữu hình > 3. Giảm trong năm,3. Giảm trong năm,(1.462.276.000),(66.172.500),(6.828.942.930),(33.498.987.500),(41.856.378.930),-1462276000.0,-66172500.0,-6828942930.0,-33498987500.0,-41856378930.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,,,,,
- Chênh lệch do chuyển đổi BCTC,"- Thanh lý, nhượng bán > - Chênh lệch do chuyển đổi BCTC",- Chênh lệch do chuyển đổi BCTC,-,-,(6.828.942.930),(359.600.000),(7.188.542.930),,,-6828942930.0,-359600000.0,-7188542930.0
- Giảm đo thoái vốn công ty con,"- Thanh lý, nhượng bán > - Giảm đo thoái vốn công ty con",- Giảm đo thoái vốn công ty con,(1.462.276.000),(66.172.500),-,-,(1.528.448.500),-1462276000.0,-66172500.0,,,-1528448500.0
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,-,-,-,(33.139.387.500),(33.139.387.500),,,,-33139387500.0,-33139387500.0
4. Số dư cuối năm,"- Thanh lý, nhượng bán > 4. Số dư cuối năm",4. Số dư cuối năm,21.723.189.930,397.684.000,212.262.985.428,-,234.383.859.358,21723189930.0,397684000.0,212262985428.0,,234383859358.0
II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,,,,,,,,,,
1 Số dư đầu năm,II Giá trị hao mòn lũy kế > 1 Số dư đầu năm,1 Số dư đầu năm,592.139.522,413.619.069,166.093.861.538,15.074.544.375,182.174.164.504,592139522.0,413619069.0,166093861538.0,15074544375.0,182174164504.0
2. Tăng trong năm,II Giá trị hao mòn lũy kế > 2. Tăng trong năm,2. Tăng trong năm,330.902.290,28.982.807,18.568.402.092,8.032.338.750,26.960.625.939,330902290.0,28982807.0,18568402092.0,8032338750.0,26960625939.0
- Khấu hao trong năm,II Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,330.902.290,28.982.807,18.568.402.092,8.032.338.750,26.960.625.939,330902290.0,28982807.0,18568402092.0,8032338750.0,26960625939.0
3. Giảm trong năm,II Giá trị hao mòn lũy kế > 3. Giảm trong năm,3. Giảm trong năm,(43.156.701),(49.629.375),(5.689.842.314),(23.106.883.125),(28.889.511.515),-43156701.0,-49629375.0,-5689842314.0,-23106883125.0,-28889511515.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,,,,,
- Chênh lệch do chuyển đổi BCTC,"- Thanh lý, nhượng bán > - Chênh lệch do chuyển đổi BCTC",- Chênh lệch do chuyển đổi BCTC,-,-,(5.689.842.314),(161.820.000),(5.851.662.314),,,-5689842314.0,-161820000.0,-5851662314.0
- Giảm đo thoái vốn công ty con,"- Thanh lý, nhượng bán > - Giảm đo thoái vốn công ty con",- Giảm đo thoái vốn công ty con,(43.156.701),(49.629.375),-,-,(92.786.076),-43156701.0,-49629375.0,,,-92786076.0
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,-,-,-,(22.945.063.125),(22.945.063.125),,,,-22945063125.0,-22945063125.0
4. Số dư cuối năm,"- Thanh lý, nhượng bán > 4. Số dư cuối năm",4. Số dư cuối năm,879.885.111,392.972.501,178.972.421.316,-,180.245.278.928,879885111.0,392972501.0,178972421316.0,,180245278928.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,22.593.326.408,50.237.431,38.416.102.285,18.424.443.125,79.484.109.249,22593326408.0,50237431.0,38416102285.0,18424443125.0,79484109249.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,20.843.304.819,4.711.499,33.290.564.112,-,54.138.580.430,20843304819.0,4711499.0,33290564112.0,,54138580430.0
