row_label_raw,row_label_full,Tên ngân hàng và tổ chức > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Hợp đồng tín dụng hạn mức số 01/2017/370018/HĐTD ngày 11/10/2017 > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Hợp đồng cho vay hạn mức số 01/2018-HĐCVHM/NHCT500-DUCLONG ngày 02/01/2018,Số tiền > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > 176.254.815.400 > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > 22.605.060.130,Thời hạn thanh toán và ngày đáo hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Từ ngày 11/10/2017 đến hết ngày 31/8/2018 > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Từ ngày 02/01/2018 đến hết ngày đến hết ngày 31/12/2018,"Lãi suất > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Lãi suất vay được xác định trong từng Hợp đồng tín dụng cụ thể > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Lãi suất vay trong bắt kỳ kỳ hạn tính lãi nào là lãi suất ngày và bằng tổng của lãi suất cơ sở cộng biên độ tối thiểu 3,5%/năm. Lãi suất vay tại thời điểm ký hợp đồng là 9%/năm và chỉ có giá trị cho kỳ tính lãi đầu tiên","Tài sản thế chấp(Thuyết minh số V.10) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Máy móc, thiết bị chế biến gỗ > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Dược bảo lãnh bởi ông Bùi Pháp (Chủ tịch HĐQT) và Bà Nguyễn Thị Hương và một số phương tiện vận tải khác thuộc sở hữu của Tập đoàn",numeric__Số tiền > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > 176.254.815.400 > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > 22.605.060.130,numeric__Thời hạn thanh toán và ngày đáo hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Từ ngày 11/10/2017 đến hết ngày 31/8/2018 > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Từ ngày 02/01/2018 đến hết ngày đến hết ngày 31/12/2018,"numeric__Lãi suất > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Lãi suất vay được xác định trong từng Hợp đồng tín dụng cụ thể > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Lãi suất vay trong bắt kỳ kỳ hạn tính lãi nào là lãi suất ngày và bằng tổng của lãi suất cơ sở cộng biên độ tối thiểu 3,5%/năm. Lãi suất vay tại thời điểm ký hợp đồng là 9%/năm và chỉ có giá trị cho kỳ tính lãi đầu tiên","numeric__Tài sản thế chấp(Thuyết minh số V.10) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Máy móc, thiết bị chế biến gỗ > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Dược bảo lãnh bởi ông Bùi Pháp (Chủ tịch HĐQT) và Bà Nguyễn Thị Hương và một số phương tiện vận tải khác thuộc sở hữu của Tập đoàn"
Ngân hàng Shinhan Bank Byulnae Br,Ngân hàng Shinhan Bank Byulnae Br,Ngân hàng Shinhan Bank Byulnae Br,Ngân hàng Shinhan Bank Byulnae Br,Ngân hàng Shinhan Bank Byulnae Br,Ngân hàng Shinhan Bank Byulnae Br,Ngân hàng Shinhan Bank Byulnae Br,,,,
,,,4.852.331.708,Thanh toán trong vòng 12 tháng tới,"Tính trên dư nợ thực tế dao động từ 3,16% đến 3,50% mỗi năm/",Tín chấp,4852331708.0,,,
Tradewind Invest LLC,Tradewind Invest LLC,Tradewind Invest LLC,Tradewind Invest LLC,Tradewind Invest LLC,Tradewind Invest LLC,Tradewind Invest LLC,,,,
,,,3.669.541.488,Thanh toán trong vòng 12 tháng tới,5%/năm,Tín chấp,3669541488.0,,,
Tổng cộng,Tradewind Invest LLC > Tổng cộng,Tổng cộng,207.381.748.726,,,,207381748726.0,,,
