row_label_raw,row_label_full,Số dư đầu năm > Phát sinh trong năm,Năm nay > 78.295.758.401 > 54.634.362.558,Năm trước > 48.996.940.885 > 46.777.520.331,numeric__Năm nay > 78.295.758.401 > 54.634.362.558,numeric__Năm trước > 48.996.940.885 > 46.777.520.331
Ảnh hưởng do hợp nhất,Ảnh hưởng do hợp nhất,Ảnh hưởng do hợp nhất,-,136.024.897,,136024897.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(23.591.963.258),(17.698.514.182),-23591963258.0,-17698514182.0
Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,(1.232.104.256),83.786.470,-1232104256.0,83786470.0
Ảnh hưởng do chuyển đổi báo cáo tài chính,Ảnh hưởng do chuyển đổi báo cáo tài chính,Ảnh hưởng do chuyển đổi báo cáo tài chính,1.485.246.156,-,1485246156.0,
Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,(5.512.872.531),-,-5512872531.0,
Cộng,Cộng,Cộng,104.078.427.070,78.295.758.401,104078427070.0,78295758401.0
