row_label_raw,row_label_full,Chi tiết gồm:,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Giá vốn bán hàng,Giá vốn bán hàng,Giá vốn bán hàng,1.101.737.567.463,1.433.406.882.461,1101737567463.0,1433406882461.0
- Giá vốn bán linh kiện điện tử,- Giá vốn bán linh kiện điện tử,- Giá vốn bán linh kiện điện tử,910.445.477.760,1.085.731.698.483,910445477760.0,1085731698483.0
- Giá vốn bán đá,- Giá vốn bán đá,- Giá vốn bán đá,46.905.681.517,130.806.652.635,46905681517.0,130806652635.0
- Giá vốn sản phẩm nông nghiệp,- Giá vốn sản phẩm nông nghiệp,- Giá vốn sản phẩm nông nghiệp,54.806.170.666,81.896.729.481,54806170666.0,81896729481.0
- Giá vốn bán điện thương phẩm,- Giá vốn bán điện thương phẩm,- Giá vốn bán điện thương phẩm,34.972.532.711,11.124.416.281,34972532711.0,11124416281.0
- Giá vốn bán phân bón,- Giá vốn bán phân bón,- Giá vốn bán phân bón,49.150.236.500,114.635.182.847,49150236500.0,114635182847.0
"- Giá vốn bán gỗ, thành phẩm từ gỗ","- Giá vốn bán gỗ, thành phẩm từ gỗ","- Giá vốn bán gỗ, thành phẩm từ gỗ",5.437.530.809,9.212.202.734,5437530809.0,9212202734.0
- Giá vốn khác,- Giá vốn khác,- Giá vốn khác,19.937.500,-,19937500.0,
Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,154.025.793.124,150.011.959.527,154025793124.0,150011959527.0
- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,149.962.710.899,145.998.834.205,149962710899.0,145998834205.0
- Dịch vụ cho thuê tài sản,- Dịch vụ cho thuê tài sản,- Dịch vụ cho thuê tài sản,4.053.082.225,3.913.125.322,4053082225.0,3913125322.0
- Dịch vụ bến xe,- Dịch vụ bến xe,- Dịch vụ bến xe,10.000.000,100.000.000,10000000.0,100000000.0
Giá vốn công trình xây lắp,Giá vốn công trình xây lắp,Giá vốn công trình xây lắp,-,4.315.112.999,,4315112999.0
Giá vốn bán bắt động sản đầu tư,Giá vốn bán bắt động sản đầu tư,Giá vốn bán bắt động sản đầu tư,-,66.819.517.973,,66819517973.0
Giá trị HTK hủy bỏ do hư hỏng,Giá trị HTK hủy bỏ do hư hỏng,Giá trị HTK hủy bỏ do hư hỏng,-,25.377.394.528,,25377394528.0
Dự phòng giảm giá HTK,Dự phòng giảm giá HTK,Dự phòng giảm giá HTK,115.906.427,24.627.029.681,115906427.0,24627029681.0
Hoàn nhập dự phòng giảm giá HTK,Hoàn nhập dự phòng giảm giá HTK,Hoàn nhập dự phòng giảm giá HTK,(3.384.475.881),(13.024.538.881),-3384475881.0,-13024538881.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,3.147.808.547,4.023.413.899,3147808547.0,4023413899.0
Cộng,Cộng,Cộng,1.255.642.599.680,1.670.179.377.659,1255642599680.0,1670179377659.0
