row_label_raw,row_label_full,STT,Tên công ty,Tại ngày cuối năm,Tại ngày cuối năm_1,Tại ngày cuối năm_2,Tại ngày đầu năm,Tại ngày đầu năm_1,Tại ngày đầu năm_2,numeric__Tên công ty,numeric__Tại ngày cuối năm,numeric__Tại ngày cuối năm_1,numeric__Tại ngày cuối năm_2,numeric__Tại ngày đầu năm,numeric__Tại ngày đầu năm_1,numeric__Tại ngày đầu năm_2
STT,STT,STT,Tên công ty,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,,,,,,,
1.,STT > 1.,1.,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,"20,00%","20,00%","20,00%","20,00%","20,00%","20,00%",,0.2,0.2,0.2,0.2,0.2,0.2
2.,STT > 2.,2.,Công ty CP Đức Long Tây Nguyên (*),"40,00%","40,00%",0%,"40,00%","40,00%",0%,,0.4,0.4,0.0,0.4,0.4,0.0
3.,STT > 3.,3.,Công ty CP DLG CY Việt Nam (*),"40,00%","40,00%",0%,"40,00%","40,00%",0%,,0.4,0.4,0.0,0.4,0.4,0.0
