row_label_raw,row_label_full,col_0,Số đầu năm,Chi phí phát sinh trong năm,Ảnh hưởng do thoái vốn công ty con,Kết chuyển giảm khác (*),Số cuối năm,numeric__Số đầu năm,numeric__Chi phí phát sinh trong năm,numeric__Ảnh hưởng do thoái vốn công ty con,numeric__Kết chuyển giảm khác (*),numeric__Số cuối năm
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,392.344.775.911,20.621.563.626,(367.737.283.706),(12.792.619.265),32.436.436.566,392344775911.0,20621563626.0,-367737283706.0,-12792619265.0,32436436566.0
- Công trình khách sạn DLGL Hotel Pleiku,- Công trình khách sạn DLGL Hotel Pleiku,- Công trình khách sạn DLGL Hotel Pleiku,21.898.087.080,8.582.863.093,-,-,30.480.950.173,21898087080.0,8582863093.0,,,30480950173.0
- Dự án điện gió la Blứ 1- Chư Puh,- Dự án điện gió la Blứ 1- Chư Puh,- Dự án điện gió la Blứ 1- Chư Puh,1.272.727.272,-,-,-,1.272.727.272,1272727272.0,,,,1272727272.0
- Dự án cao su mới la Blứ,- Dự án cao su mới la Blứ,- Dự án cao su mới la Blứ,278.175.000,-,-,-,278.175.000,278175000.0,,,,278175000.0
- Dự án nhà máy linh kiện điện tử Phía Nam Đà Nẵng,- Dự án nhà máy linh kiện điện tử Phía Nam Đà Nẵng,- Dự án nhà máy linh kiện điện tử Phía Nam Đà Nẵng,204.584.121,-,-,-,204.584.121,204584121.0,,,,204584121.0
- Dự án trại heo giống- trang trại chăn nuôi Quảng Phú,- Dự án trại heo giống- trang trại chăn nuôi Quảng Phú,- Dự án trại heo giống- trang trại chăn nuôi Quảng Phú,-,200.000.000,-,-,200.000.000,,200000000.0,,,200000000.0
- Công trình khác,- Công trình khác,- Công trình khác,368.691.202.438,11.838.700.533,(367.737.283.706),(12.792.619.265),-,368691202438.0,11838700533.0,-367737283706.0,-12792619265.0,
Chi phí khác,Chi phí khác,Chi phí khác,25.507.523.637,18.893.980.909,-,(44.401.504.546),-,25507523637.0,18893980909.0,,-44401504546.0,
- Chi phí trùng tu tuyến đường thuộc Quốc lộ 14,- Chi phí trùng tu tuyến đường thuộc Quốc lộ 14,- Chi phí trùng tu tuyến đường thuộc Quốc lộ 14,25.507.523.637,18.893.980.909,,(44.401.504.546),-,25507523637.0,18893980909.0,,-44401504546.0,
Cộng,Cộng,Cộng,417.852.299.548,39.515.544.535,(367.737.283.706),(57.194.123.811),32.436.436.566,417852299548.0,39515544535.0,-367737283706.0,-57194123811.0,32436436566.0
