row_label_raw,row_label_full,- Các khoản điều chỉnh giảm,(320.680.638.633),(64.744.238.300),numeric__(320.680.638.633),numeric__(64.744.238.300)
+ Hoàn nhập dự phòng phải thu trên khia cạnh hợp nhất,+ Hoàn nhập dự phòng phải thu trên khia cạnh hợp nhất,+ Hoàn nhập dự phòng phải thu trên khia cạnh hợp nhất,(127.520.837.780),(26.087.404.575),-127520837780.0,-26087404575.0
+ Lãi từ thanh lý các công ty con ở khia cạnh hợp nhất,+ Lãi từ thanh lý các công ty con ở khia cạnh hợp nhất,+ Lãi từ thanh lý các công ty con ở khia cạnh hợp nhất,(190.639.291.361),(29.473.506.263),-190639291361.0,-29473506263.0
+ Loại trì chi phí khấu hao trong kỳ từ số khấu hao của lãi chưa thực hiện ở khia cạnh hợp nhất,+ Loại trì chi phí khấu hao trong kỳ từ số khấu hao của lãi chưa thực hiện ở khia cạnh hợp nhất,+ Loại trì chi phí khấu hao trong kỳ từ số khấu hao của lãi chưa thực hiện ở khia cạnh hợp nhất,(2.163.873.779),(2.281.709.495),-2163873779.0,-2281709495.0
+ Giảm từ cổ tức nhận được,+ Giảm từ cổ tức nhận được,+ Giảm từ cổ tức nhận được,(225.039.014),-,-225039014.0,
+ Các điều chỉnh khác,+ Các điều chỉnh khác,+ Các điều chỉnh khác,(131.596.699),(6.901.617.967),-131596699.0,-6901617967.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,172.184.000.122,144.367.720.429,172184000122.0,144367720429.0
Thu nhập được miễn thuế,Thu nhập được miễn thuế,Thu nhập được miễn thuế,(16.616.359.821),(6.394.700.644),-16616359821.0,-6394700644.0
Các khoản lỗ được kết chuyển,Các khoản lỗ được kết chuyển,Các khoản lỗ được kết chuyển,(42.939.533.429),(285.963.658),-42939533429.0,-285963658.0
Thu nhập tính thuế,Thu nhập tính thuế,Thu nhập tính thuế,112.628.106.872,137.687.056.127,112628106872.0,137687056127.0
Thuế TNDN phải nộp ước tính trong năm hiện hành,Thuế TNDN phải nộp ước tính trong năm hiện hành,Thuế TNDN phải nộp ước tính trong năm hiện hành,15.103.807.802,24.267.806.074,15103807802.0,24267806074.0
"Thuế TNDN được miễn, giảm","Thuế TNDN được miễn, giảm","Thuế TNDN được miễn, giảm",(8.514.760.128),(10.626.127.003),-8514760128.0,-10626127003.0
Truy thu thuế TNDN(*),Truy thu thuế TNDN(*),Truy thu thuế TNDN(*),1.500.182.450,5.670.835,1500182450.0,5670835.0
Tổng Thuế thu nhập doanh nghiệp phải nộp,Tổng Thuế thu nhập doanh nghiệp phải nộp,Tổng Thuế thu nhập doanh nghiệp phải nộp,8.089.230.124,13.647.349.906,8089230124.0,13647349906.0
