row_label_raw,row_label_full,Tiền lương > Ông Nguyễn Tường Cọt > Ông Trần Cao Châu,Chức vụ > Tổng Giám đốc_bổ nhiệm từ ngày 01/10/2021 > Tổng Giám đốc _miễn nhiệm ngày 01/10/2021,Năm nay > 72.948.718 > 328.490.028,Năm trước > - > 415.721.367,numeric__Chức vụ > Tổng Giám đốc_bổ nhiệm từ ngày 01/10/2021 > Tổng Giám đốc _miễn nhiệm ngày 01/10/2021,numeric__Năm nay > 72.948.718 > 328.490.028,numeric__Năm trước > - > 415.721.367
Bà Vũ Thị Hải,Bà Vũ Thị Hải,Bà Vũ Thị Hải,Phó Tổng Giám đốc,305.683.759,337.871.795,,305683759.0,337871795.0
Ông Đỗ Thành Nhân,Ông Đỗ Thành Nhân,Ông Đỗ Thành Nhân,Trường phòng TC – KT kiểm phụ trách kế toán,233.855.412,237.967.321,,233855412.0,237967321.0
Ông Phạm Minh Việt,Ông Phạm Minh Việt,Ông Phạm Minh Việt,Phó Tổng Giám đốc,421.200.000,423.000.000,,421200000.0,423000000.0
Ông Trần Văn Phương,Ông Trần Văn Phương,Ông Trần Văn Phương,Phó Tổng Giám đốc,308.000.000,249.046.154,,308000000.0,249046154.0
Cộng,Cộng,Cộng,,1.670.177.917,1.663.606.637,,1670177917.0,1663606637.0
