row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2016,Địa chỉ,Số lượng,% lợi ích kinh tế,% quyền biểu quyết,Giá gốc VND,Dự phòng giảm giá giá trị đầu tư VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Số lượng,numeric__% lợi ích kinh tế,numeric__% quyền biểu quyết,numeric__Giá gốc VND,numeric__Dự phòng giảm giá giá trị đầu tư VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,
Công ty TNHH MTV Tư Văn Sải Gòn Thương Tín (i),Công ty con > Công ty TNHH MTV Tư Văn Sải Gòn Thương Tín (i),Công ty TNHH MTV Tư Văn Sải Gòn Thương Tín (i),"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",-,"100,00%","100,00%",3.000.000.000,(1.746.527.589),(*),,,1.0,1.0,3000000000.0,-1746527589.0,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài gòn Thương Tín,Công ty con > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài gòn Thương Tín,"97 Nguyễn Văn Trỗi, Quận Phú Nhuận, Thành phố Hồ Chí Minh",-,"100,00%","100,00%",,-,(*),,,1.0,1.0,,,
Công ty Cổ phần Năng lượng Thương Tín (a),Công ty con > Công ty Cổ phần Năng lượng Thương Tín (a),Công ty Cổ phần Năng lượng Thương Tín (a),"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",1.810.494,"52,00%","52,00%",70.000.000.000,(3.247.092.435),(*),,1810494.0,0.52,0.52,70000000000.0,-3247092435.0,
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",21.352.500,"94,90%","94,90%",18.104.940.000,(90.232.854.651),(*),,21352500.0,0.9490000000000001,0.9490000000000001,18104940000.0,-90232854651.0,
Công ty Cổ phần Bao bì và Kho bãi Bình Tây (e),Công ty con > Công ty Cổ phần Bao bì và Kho bãi Bình Tây (e),Công ty Cổ phần Bao bì và Kho bãi Bình Tây (e),"621 Phạm Văn Chí, Phường 7, Quận 6, Thành phố Hồ Chí Minh",4.591.893,"80,18%","80,18%",219.163.852.083,-,(*),,4591893.0,0.8018000000000001,0.8018000000000001,219163852083.0,,
Công ty Cổ phần Thương Tín Tàu Cuốc (b),Công ty con > Công ty Cổ phần Thương Tín Tàu Cuốc (b),Công ty Cổ phần Thương Tín Tàu Cuốc (b),"16/9 Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh",24.610.397,"83,10%","83,10%",63.433.715.031,-,(*),,24610397.0,0.831,0.831,63433715031.0,,
,,,,,,,246.103.974.000,,,,,,,246103974000.0,,
,,,,,,,619.806.481.114,(95.226.474.675),,,,,,619806481114.0,-95226474675.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
Công ty Cổ phần Địa ốc Dũng Anh (j),Công ty liên kết > Công ty Cổ phần Địa ốc Dũng Anh (j),Công ty Cổ phần Địa ốc Dũng Anh (j),"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",2.476.150,"25,00%","25,00%",24.761.500.000,(2.381.074.850),(*),,2476150.0,0.25,0.25,24761500000.0,-2381074850.0,
