row_label_raw,row_label_full,col_0,31/12/2016,31/12/2016_1,1/1/2016,1/1/2016_1,numeric__31/12/2016,numeric__31/12/2016_1,numeric__1/1/2016,numeric__1/1/2016_1
,,,Giá gốc VND,Số có khả năng trả nợ VND,Giá gốc VND,Số có khả năng trả nợ VND,,,,
Ngân hàng TMCP Sài Gòn,Ngân hàng TMCP Sài Gòn,Ngân hàng TMCP Sài Gòn,,,,,,,,
Thương Tín,Ngân hàng TMCP Sài Gòn > Thương Tín,Thương Tín,31.900.000.000,31.900.000.000,31.900.000.000,31.900.000.000,31900000000.0,31900000000.0,31900000000.0,31900000000.0
Công ty TNHH MTV Kinh doanh,Công ty TNHH MTV Kinh doanh,Công ty TNHH MTV Kinh doanh,,,,,,,,
Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh > Dịch vụ Địa ốc Sài Gòn Thương Tín,Dịch vụ Địa ốc Sài Gòn Thương Tín,11.089.891.406,11.089.891.406,39.242.340.849,39.242.340.849,11089891406.0,11089891406.0,39242340849.0,39242340849.0
Công ty Cổ phần Đầu tư Thành,Công ty Cổ phần Đầu tư Thành,Công ty Cổ phần Đầu tư Thành,,,,,,,,
Thành Công,Công ty Cổ phần Đầu tư Thành > Thành Công,Thành Công,10.069.057.714,10.069.057.714,552.774.198,552.774.198,10069057714.0,10069057714.0,552774198.0,552774198.0
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần Đầu tư Thành > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,435.553.415,435.553.415,57.528.017.600,57.528.017.600,435553415.0,435553415.0,57528017600.0,57528017600.0
Nhà cung cấp khác,Công ty Cổ phần Đầu tư Thành > Nhà cung cấp khác,Nhà cung cấp khác,33.328.358.991,33.328.358.991,18.692.226.263,18.692.226.263,33328358991.0,33328358991.0,18692226263.0,18692226263.0
,,,86.822.861.526,86.822.861.526,147.915.358.910,147.915.358.910,86822861526.0,86822861526.0,147915358910.0,147915358910.0
