row_label_raw,row_label_full,col_0,Số ngàyquá hạn,31/12/2016 and 1/1/2016 > Giá gốcVND,31/12/2016 and 1/1/2016 > Dự phòngVND,31/12/2016 and 1/1/2016 > Giá trị cóthe thu hồiVND,numeric__Số ngàyquá hạn,numeric__31/12/2016 and 1/1/2016 > Giá gốcVND,numeric__31/12/2016 and 1/1/2016 > Dự phòngVND,numeric__31/12/2016 and 1/1/2016 > Giá trị cóthe thu hồiVND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,
- Công ty TNHH Xây dựng Á Đông,Nợ quá hạn > - Công ty TNHH Xây dựng Á Đông,- Công ty TNHH Xây dựng Á Đông,Hon 4 năm,36.219.590.000,36.219.590.000,-,,36219590000.0,36219590000.0,
- Công ty TNHH Thương mại - Dịch vụKinh doanh Địa Óc Việt R.E.M.A.X,Nợ quá hạn > - Công ty TNHH Thương mại - Dịch vụKinh doanh Địa Óc Việt R.E.M.A.X,- Công ty TNHH Thương mại - Dịch vụKinh doanh Địa Óc Việt R.E.M.A.X,Hon 4 năm,50.000.000.000,50.000.000.000,-,,50000000000.0,50000000000.0,
,,,,86.219.590.000,86.219.590.000,-,,86219590000.0,86219590000.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Dự phòng phải thu khó đòi – ngắn hạn,Trong đó: > Dự phòng phải thu khó đòi – ngắn hạn,Dự phòng phải thu khó đòi – ngắn hạn,,,86.219.590.000,,,,86219590000.0,
