row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoai VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát (“NCI”) VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát (“NCI”) VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,5.431.327.770.000,5.088.056.394.992,(265.775.657.006),(1.640.252.631.255),2.951.013.886,22.731.972.844,2.226.022.362.372,466.766.233.907,11.331.827.459.740,5431327770000.0,5088056394992.0,-265775657006.0,-1640252631255.0,2951013886.0,22731972844.0,2226022362372.0,466766233907.0,11331827459740.0
Phát hành cổ phiếu (Thuyết minh 25),Phát hành cổ phiếu (Thuyết minh 25),Phát hành cổ phiếu (Thuyết minh 25),52.408.270.000,-,-,-,-,-,-,-,52.408.270.000,52408270000.0,,,,,,,,52408270000.0
Phát hành cổ phiếu thường (Thuyết minh 25),Phát hành cổ phiếu thường (Thuyết minh 25),Phát hành cổ phiếu thường (Thuyết minh 25),795.555.190.000,(795.555.190.000),-,-,-,-,-,-,-,795555190000.0,-795555190000.0,,,,,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,3.367.089.339.533,30.390.078.089,3.397.479.417.622,,,,,,,3367089339533.0,30390078089.0,3397479417622.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,-,-,-,-,(2.363.097.496.500),-,(2.363.097.496.500),,,,,,,-2363097496500.0,,-2363097496500.0
Mua thêm NCI (Thuyết minh 5(a)),Mua thêm NCI (Thuyết minh 5(a)),Mua thêm NCI (Thuyết minh 5(a)),-,-,-,-,-,-,(1.301.506.857.458),(311.418.585.035),(1.612.925.442.493),,,,,,,-1301506857458.0,-311418585035.0,-1612925442493.0
Góp vốn vào một công ty con bởi NCI (Thuyết minh 5(b)),Góp vốn vào một công ty con bởi NCI (Thuyết minh 5(b)),Góp vốn vào một công ty con bởi NCI (Thuyết minh 5(b)),-,-,-,-,-,-,34.076.874.945,42.266.450.754,76.343.325.699,,,,,,,34076874945.0,42266450754.0,76343325699.0
Cổ tức công bố bởi một công ty con Chênh lệch quy đổi tỷ giá hối đoái,Cổ tức công bố bởi một công ty con Chênh lệch quy đổi tỷ giá hối đoái,Cổ tức công bố bởi một công ty con Chênh lệch quy đổi tỷ giá hối đoái,-,-,-,-,-,-,-,(3.270.360.000),(3.270.360.000),,,,,,,,-3270360000.0,-3270360000.0
Cổ tức công bố bởi một công ty con Chênh lệch quy đổi tỷ giá hối đoái,Cổ tức công bố bởi một công ty con Chênh lệch quy đổi tỷ giá hối đoái,Cổ tức công bố bởi một công ty con Chênh lệch quy đổi tỷ giá hối đoái,-,-,-,-,2.447.294.013,-,-,3.722,2.447.297.735,,,,,2447294013.0,,,3722.0,2447297735.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,6.279.291.230.000,4.292.501.204.992,(265.775.657.006),(1.640.252.631.255),5.398.307.899,22.731.972.844,1.962.584.222.892,224.733.821.437,10.881.212.471.803,6279291230000.0,4292501204992.0,-265775657006.0,-1640252631255.0,5398307899.0,22731972844.0,1962584222892.0,224733821437.0,10881212471803.0
