row_label_raw,row_label_full,col_0,Nhà cửa VND,Nâng cấp tài sản thuê VND,Thiết bị văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa VND,numeric__Nâng cấp tài sản thuê VND,numeric__Thiết bị văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.436.687.308.233,62.791.110.984,65.778.567.325,3.637.257.479.750,27.805.269.265,5.230.319.735.557,1436687308233.0,62791110984.0,65778567325.0,3637257479750.0,27805269265.0,5230319735557.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,373.927.815,-,-,3.989.491.541,87.652.000,4.451.071.356,373927815.0,,,3989491541.0,87652000.0,4451071356.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,57.265.283.238,-,3.018.131.266,278.387.799.303,-,338.671.213.807,57265283238.0,,3018131266.0,278387799303.0,,338671213807.0
Chuyển thuần sang chi phí trả trước dài hạn,Nguyên giá > Chuyển thuần sang chi phí trả trước dài hạn,Chuyển thuần sang chi phí trả trước dài hạn,-,-,-,(283.341.705),-,(283.341.705),,,,-283341705.0,,-283341705.0
Chuyển sang chi phí trả trước ngắn hạn,Nguyên giá > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,-,(49.108.886),-,(49.108.886),,,,-49108886.0,,-49108886.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.261.318.008),-,(412.849.547),(33.440.411.855),(4.369.999.245),(40.484.578.655),-2261318008.0,,-412849547.0,-33440411855.0,-4369999245.0,-40484578655.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(3.045.088.330),-,(612.998.925),(2.201.088.273),(7.216.999.211),(13.076.174.739),-3045088330.0,,-612998925.0,-2201088273.0,-7216999211.0,-13076174739.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.489.020.112.948,62.791.110.984,67.770.850.119,3.883.660.819.875,16.305.922.809,5.519.548.816.735,1489020112948.0,62791110984.0,67770850119.0,3883660819875.0,16305922809.0,5519548816735.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,306.627.179.424,29.935.955.606,37.472.523.021,1.597.882.447.252,17.364.415.286,1.989.282.520.589,306627179424.0,29935955606.0,37472523021.0,1597882447252.0,17364415286.0,1989282520589.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,76.980.917.065,10.451.709.067,6.850.400.627,380.460.721.351,2.592.672.971,477.336.421.081,76980917065.0,10451709067.0,6850400627.0,380460721351.0,2592672971.0,477336421081.0
Chuyển thuần sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển thuần sang chi phí trả trước dài hạn,Chuyển thuần sang chi phí trả trước dài hạn,-,-,-,(48.787.128),-,(48.787.128),,,,-48787128.0,,-48787128.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(229.902.091),-,(412.849.547),(18.547.631.031),(3.508.551.062),(22.698.933.731),-229902091.0,,-412849547.0,-18547631031.0,-3508551062.0,-22698933731.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(2.401.461.583),-,(612.998.925),(2.174.096.702),(6.533.988.789),(11.722.545.999),-2401461583.0,,-612998925.0,-2174096702.0,-6533988789.0,-11722545999.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,380.976.732.815,40.387.664.673,43.297.075.176,1.957.572.653.742,9.914.548.406,2.432.148.674.812,380976732815.0,40387664673.0,43297075176.0,1957572653742.0,9914548406.0,2432148674812.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.130.060.128.809,32.855.155.378,28.306.044.304,2.039.375.032.498,10.440.853.979,3.241.037.214.968,1130060128809.0,32855155378.0,28306044304.0,2039375032498.0,10440853979.0,3241037214968.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.108.043.380.133,22.403.446.311,24.473.774.943,1.926.088.166.133,6.391.374.403,3.087.400.141.923,1108043380133.0,22403446311.0,24473774943.0,1926088166133.0,6391374403.0,3087400141923.0
