row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Lợi thế kinh doanhtừ cổ phần hóaVND,Công cụ vàdụng cụVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Lợi thế kinh doanhtừ cổ phần hóaVND,numeric__Công cụ vàdụng cụVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,85.669.355.388,25.074.969.229,80.205.901.013,190.950.225.630,85669355388.0,25074969229.0,80205901013.0,190950225630.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,11.997.376.585,11.997.376.585,,,11997376585.0,11997376585.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,-,20.235.130.155,20.235.130.155,,,20235130155.0,20235130155.0
Chuyển thuần từ tài sản cố định hữu hình,Chuyển thuần từ tài sản cố định hữu hình,Chuyển thuần từ tài sản cố định hữu hình,-,-,234.554.577,234.554.577,,,234554577.0,234554577.0
Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,828.304.001,828.304.001,,,828304001.0,828304001.0
Chuyển thuần từ chi phí trả trước ngắn hạn,Chuyển thuần từ chi phí trả trước ngắn hạn,Chuyển thuần từ chi phí trả trước ngắn hạn,-,-,263.652.504,263.652.504,,,263652504.0,263652504.0
Thanh lý,Thanh lý,Thanh lý,-,-,(16.303.154.834),(16.303.154.834),,,-16303154834.0,-16303154834.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(2.096.255.810),(3.134.371.153),(37.102.517.757),(42.333.144.720),-2096255810.0,-3134371153.0,-37102517757.0,-42333144720.0
Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,-,-,34.496.439,34.496.439,,,34496439.0,34496439.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,83.573.099.578,21.940.598.076,60.393.742.683,165.907.440.337,83573099578.0,21940598076.0,60393742683.0,165907440337.0
