row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Gia vị VND,Thực phẩm tiện lợi VND,Đồ uống VND,Hợp nhất VND,numeric__Gia vị VND,numeric__Thực phẩm tiện lợi VND,numeric__Đồ uống VND,numeric__Hợp nhất VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.003.154.003.000,1.469.337.297.751,2.403.268.880.343,5.875.760.181.094,2003154003000.0,1469337297751.0,2403268880343.0,5875760181094.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,11.177.045.022.625,,,,11177045022625.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,17.052.805.203.719,,,,17052805203719.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,315.923.020.745,527.430.592.405,703.376.472.523,1.546.730.085.673,315923020745.0,527430592405.0,703376472523.0,1546730085673.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,4.624.862.646.243,,,,4624862646243.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,6.171.592.731.916,,,,6171592731916.0
Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chi tiêu vốn,Chi tiêu vốn,115.570.180.201,231.368.176.184,46.476.952.249,393.415.308.634,115570180201.0,231368176184.0,46476952249.0,393415308634.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,38.317.354.220,,,,38317354220.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,222.398.998.845,113.338.250.661,128.262.138.944,463.999.388.450,222398998845.0,113338250661.0,128262138944.0,463999388450.0
Khấu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,,13.337.032.631,,,,13337032631.0
"Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn",4.482.885.314,20.972.494.649,172.885.985.858,198.341.365.821,4482885314.0,20972494649.0,172885985858.0,198341365821.0
Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,,52.538.510.527,,,,52538510527.0
