row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Gia vị VND,Thực phẩm tiện lợi (*) VND,Đồ uống (*) VND,Khác VND,Hợp nhất VND,numeric__Gia vị VND,numeric__Thực phẩm tiện lợi (*) VND,numeric__Đồ uống (*) VND,numeric__Khác VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,5.294.071.048.560,3.833.707.907.972,4.079.256.392.751,6.604.924.133,13.213.640.273.416,5294071048560.0,3833707907972.0,4079256392751.0,6604924133.0,13213640273416.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,2.799.817.614.902,1.555.970.296.881,1.673.487.896.768,3.305.627.587,6.032.581.436.138,2799817614902.0,1555970296881.0,1673487896768.0,3305627587.0,6032581436138.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,1.815.542.378.157,462.679.492.591,363.725.232.242,3.305.627.587,2.645.252.730.577,1815542378157.0,462679492591.0,363725232242.0,3305627587.0,2645252730577.0
Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,,,,,(342.236.846.300),,,,,-342236846300.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,456.988.463.034,,,,,456988463034.0
,,,,,,,(135.642.808.146),,,,,-135642808146.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,2.624.361.539.165,,,,,2624361539165.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,1.340.161.739,,,,,1340161739.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(3.734.128.540),,,,,-3734128540.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(375.969.896.283),,,,,-375969896283.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,2.245.997.676.081,,,,,2245997676081.0
