row_label_raw,row_label_full,col_0,Mã số,2018 VND,2017 VND,numeric__Mã số,numeric__2018 VND,numeric__2017 VND
LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,3.894.405.218.185,2.621.967.572.364,1.0,3894405218185.0,2621967572364.0
Khấu hao và phân bổ,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,685.883.152.709,674.245.273.989,2.0,685883152709.0,674245273989.0
Các khoản dự phòng,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,77.111.027.113,30.761.091.598,3.0,77111027113.0,30761091598.0
(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > (Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(131.172.203),465.899.740,4.0,-131172203.0,465899740.0
Lỗ từ thanh lý và xóa số tài sản cố định,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Lỗ từ thanh lý và xóa số tài sản cố định,Lỗ từ thanh lý và xóa số tài sản cố định,05,14.496.001.037,2.012.204.594,5.0,14496001037.0,2012204594.0
Thu nhập lãi từ các hoạt động đầu tư,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Thu nhập lãi từ các hoạt động đầu tư,Thu nhập lãi từ các hoạt động đầu tư,05,(546.923.962.024),(453.172.625.151),5.0,-546923962024.0,-453172625151.0
Lợi nhuận được chia từ một công ty liên kết,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Lợi nhuận được chia từ một công ty liên kết,Lợi nhuận được chia từ một công ty liên kết,05,(5.318.434.000),(5.318.434.000),5.0,-5318434000.0,-5318434000.0
Chi phí lãi vay,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,180.421.924.187,131.876.543.711,6.0,180421924187.0,131876543711.0
Lợi nhuận từ các hoạt động kinh doanh trước những thay đổi vốn lưu động,LUU CHUYÊN TIÊN TỪ CÁC HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ các hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ các hoạt động kinh doanh trước những thay đổi vốn lưu động,08,4.299.943.755.004,3.002.837.526.845,8.0,4299943755004.0,3002837526845.0
