row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Quyền khai thác VND,Thương hiệu VND,Quan hệ khách hàng VND,Tài nguyên nước khoáng VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Quyền khai thác VND,numeric__Thương hiệu VND,numeric__Quan hệ khách hàng VND,numeric__Tài nguyên nước khoáng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.085.818.402,291.102.724.674,117.945.577.348,758.354.816.571,404.114.911.701,412.697.763.511,2.103.301.612.207,119085818402.0,291102724674.0,117945577348.0,758354816571.0,404114911701.0,412697763511.0,2103301612207.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,2.765.431.200,-,-,-,2.765.431.200,,,2765431200.0,,,,2765431200.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,2.137.005.818,-,-,-,-,2.137.005.818,,2137005818.0,,,,,2137005818.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(1.069.892.667),-,-,-,-,(1.069.892.667),,-1069892667.0,,,,,-1069892667.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(490.000.000),-,-,-,-,(490.000.000),,-490000000.0,,,,,-490000000.0
Khác,Nguyên giá > Khác,Khác,-,-,(46.435.965.000),-,-,-,(46.435.965.000),,,-46435965000.0,,,,-46435965000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.085.818.402,291.679.837.825,74.275.043.548,758.354.816.571,404.114.911.701,412.697.763.511,2.060.208.191.558,119085818402.0,291679837825.0,74275043548.0,758354816571.0,404114911701.0,412697763511.0,2060208191558.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,29.862.531.845,98.028.541.320,13.898.704.478,385.228.742.429,352.923.944.341,51.463.118.832,931.405.583.245,29862531845.0,98028541320.0,13898704478.0,385228742429.0,352923944341.0,51463118832.0,931405583245.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.730.881.408,35.131.303.248,3.917.416.004,66.892.868.504,8.138.841.240,21.934.668.276,139.745.978.680,3730881408.0,35131303248.0,3917416004.0,66892868504.0,8138841240.0,21934668276.0,139745978680.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(241.588.666),-,-,-,-,(241.588.666),,-241588666.0,,,,,-241588666.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(490.000.000),-,-,-,-,(490.000.000),,-490000000.0,,,,,-490000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,33.593.413.253,132.428.255.902,17.816.120.482,452.121.610.933,361.062.785.581,73.397.787.108,1.070.419.973.259,33593413253.0,132428255902.0,17816120482.0,452121610933.0,361062785581.0,73397787108.0,1070419973259.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,89.223.286.557,193.074.183.354,104.046.872.870,373.126.074.142,51.190.967.360,361.234.644.679,1.171.896.028.962,89223286557.0,193074183354.0,104046872870.0,373126074142.0,51190967360.0,361234644679.0,1171896028962.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,85.492.405.149,159.251.581.923,56.458.923.066,306.233.205.638,43.052.126.120,339.299.976.403,989.788.218.299,85492405149.0,159251581923.0,56458923066.0,306233205638.0,43052126120.0,339299976403.0,989788218299.0
