row_label_raw,row_label_full,Tên công ty > Công ty Cổ phần Thương mại Dịch vụ và Sản xuất Krôngpha > Công ty Cổ phần Nước khoáng Quảng Ninh > Công ty Cổ phần Café De Nam (trước đây là Công ty Cổ phần Sản xuất Thương mại CDN),Tên công ty > (iii) > (ii) > (iv),Hoạt động chính > Sản xuất đồ uống > Sản xuất và kinh doanh đồ uống,"Trụ sở > Km 37, Xa lộ 27, Thị trấn Tân Sơn, Huyện Ninh Sơn, Tỉnh Ninh Thuận, Việt Nam. > Nhóm 3A, Khu 4, Suối Mơ, Phường Bãi Cháy, Thành phố Hạ Long, Tỉnh Quảng Ninh, Việt Nam. > Lô C I.III-3+5+7, Khu Công nghiệp Long Thành, Xã Tâm An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam.","Phần trăm lợi ích kinh tế tại ngày > 31/12/2018 > 88,55% > 65,85% > 83,72%","Phần trăm lợi ích kinh tế tại ngày > 1/1/2018 > 88,55% > 65,85% > 58,19%","Phần trăm quyền biểu quyết tại ngày > 31/12/2018 > 99,99% > 65,85% > 85%","Phần trăm quyền biểu quyết tại ngày > 1/1/2018 > 99,99% > 65,85% > 85%",numeric__Tên công ty > (iii) > (ii) > (iv),numeric__Hoạt động chính > Sản xuất đồ uống > Sản xuất và kinh doanh đồ uống,"numeric__Trụ sở > Km 37, Xa lộ 27, Thị trấn Tân Sơn, Huyện Ninh Sơn, Tỉnh Ninh Thuận, Việt Nam. > Nhóm 3A, Khu 4, Suối Mơ, Phường Bãi Cháy, Thành phố Hạ Long, Tỉnh Quảng Ninh, Việt Nam. > Lô C I.III-3+5+7, Khu Công nghiệp Long Thành, Xã Tâm An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam.","numeric__Phần trăm lợi ích kinh tế tại ngày > 31/12/2018 > 88,55% > 65,85% > 83,72%","numeric__Phần trăm lợi ích kinh tế tại ngày > 1/1/2018 > 88,55% > 65,85% > 58,19%","numeric__Phần trăm quyền biểu quyết tại ngày > 31/12/2018 > 99,99% > 65,85% > 85%","numeric__Phần trăm quyền biểu quyết tại ngày > 1/1/2018 > 99,99% > 65,85% > 85%"
Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,Một công ty liên kết,,,,,,,
Công ty Cổ phần Thực phẩm Cholimex,Một công ty liên kết > Công ty Cổ phần Thực phẩm Cholimex,Công ty Cổ phần Thực phẩm Cholimex,(i),Sản xuất và kinh doanh gia vị,"Lô C40 – 43/I, Đường số 7, Khu Công nghiệp Vĩnh Lộc, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam.","32,83%","32,83%","32,83%","32,83%",,,,0.3283,0.3283,0.3283,0.3283
