row_label_raw,row_label_full,31/12/2019,Tài sân cúa bó phân > Nguyên giá TSCD HH,Tài sân cúa bó phân > Hao mòn luy ké,Tài sân cúa bó phân > Nợ phải thu,Tài sân cúa bó phân > Tổng tài sân,Tài sân cúa bó phân > Nợ phải trá,Khái hao TSCD Nám 2019,numeric__Tài sân cúa bó phân > Nguyên giá TSCD HH,numeric__Tài sân cúa bó phân > Hao mòn luy ké,numeric__Tài sân cúa bó phân > Nợ phải thu,numeric__Tài sân cúa bó phân > Tổng tài sân,numeric__Tài sân cúa bó phân > Nợ phải trá,numeric__Khái hao TSCD Nám 2019
Hoạt động SXKD sân phám Duòng,Hoạt động SXKD sân phám Duòng,Hoạt động SXKD sân phám Duòng,3.265.845.432.900,(1.595.697.668.461),158.134.158.402,2.026.804.433.053,48.223.384.713,169.064.188.553,3265845432900.0,-1595697668461.0,158134158402.0,2026804433053.0,48223384713.0,169064188553.0
Hoạt động SXKD sân phám Sūa dàu nanh,Hoạt động SXKD sân phám Sūa dàu nanh,Hoạt động SXKD sân phám Sūa dàu nanh,1.952.348.685.607,(1.408.421.948.069),46.410.536.014,1.090.798.511.641,203.743.738.198,154.544.994.221,1952348685607.0,-1408421948069.0,46410536014.0,1090798511641.0,203743738198.0,154544994221.0
Hoạt động SXKD khác,Hoạt động SXKD khác,Hoạt động SXKD khác,3.004.302.605.678,(1.084.250.608.785),76.253.214.426,6.725.232.600.442,2.338.720.498.565,149.789.065.367,3004302605678.0,-1084250608785.0,76253214426.0,6725232600442.0,2338720498565.0,149789065367.0
Tổng cộng,Tổng cộng,Tổng cộng,8.222.496.724.185,(4.088.370.225.315),280.797.908.842,9.842.835.545.136,2.590.687.621.476,473.398.248.141,8222496724185.0,-4088370225315.0,280797908842.0,9842835545136.0,2590687621476.0,473398248141.0
01/01/2019,01/01/2019,01/01/2019,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Khái hao TSCD Nám 2018,,,,,,
01/01/2019,01/01/2019,01/01/2019,Nguyên giá TSCD HH,Hao mòn luy ké,Nợ phải thu,Tổng tài sân,Nợ phải trá,Khái hao TSCD Nám 2018,,,,,,
Hoạt động SXKD sân phám Duòng,01/01/2019 > Hoạt động SXKD sân phám Duòng,Hoạt động SXKD sân phám Duòng,3.113.369.997.003,(1.432.738.470.915),165.200.495.389,2.035.635.074.686,100.358.695.970,183.217.830.887,3113369997003.0,-1432738470915.0,165200495389.0,2035635074686.0,100358695970.0,183217830887.0
Hoạt động SXKD sân phám Sūa dàu nanh,01/01/2019 > Hoạt động SXKD sân phám Sūa dàu nanh,Hoạt động SXKD sân phám Sūa dàu nanh,1.911.392.334.995,(1.268.391.512.108),55.180.746.038,1.061.005.226.605,177.682.189.569,165.820.000.000,1911392334995.0,-1268391512108.0,55180746038.0,1061005226605.0,177682189569.0,165820000000.0
Hoạt động SXKD khác,01/01/2019 > Hoạt động SXKD khác,Hoạt động SXKD khác,2.967.897.583.642,(937.123.959.621),247.475.632.080,5.701.787.450.108,2.397.104.195.090,138.277.867.935,2967897583642.0,-937123959621.0,247475632080.0,5701787450108.0,2397104195090.0,138277867935.0
Tổng cộng,01/01/2019 > Tổng cộng,Tổng cộng,7.992.659.915.640,(3.638.253.942.644),467.856.873.507,8.798.427.751.399,2.675.145.080.629,487.315.698.822,7992659915640.0,-3638253942644.0,467856873507.0,8798427751399.0,2675145080629.0,487315698822.0
