row_label_raw,row_label_full,31/12/2019,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,211.157.417.797,-,211.157.417.797,211157417797.0,,211157417797.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.660.000.000.000,-,2.660.000.000.000,2660000000000.0,,2660000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,58.734.740.889,-,58.734.740.889,58734740889.0,,58734740889.0
Phải thu khác,Phải thu khác,Phải thu khác,32.966.504.485,690.181.497,33.656.685.982,32966504485.0,690181497.0,33656685982.0
Cộng,Cộng,Cộng,2.962.858.663.171,690.181.497,2.963.548.844.668,2962858663171.0,690181497.0,2963548844668.0
01/01/2019,01/01/2019,01/01/2019,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,417.823.626.254,-,417.823.626.254,417823626254.0,,417823626254.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2019 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,1.699.000.000.000,-,1.699.000.000.000,1699000000000.0,,1699000000000.0
Phải thu khách hàng,01/01/2019 > Phải thu khách hàng,Phải thu khách hàng,82.586.988.025,-,82.586.988.025,82586988025.0,,82586988025.0
Phải thu khác,01/01/2019 > Phải thu khác,Phải thu khác,19.045.039.385,690.181.497,19.735.220.882,19045039385.0,690181497.0,19735220882.0
Cộng,01/01/2019 > Cộng,Cộng,2.218.455.653.664,690.181.497,2.219.145.835.161,2218455653664.0,690181497.0,2219145835161.0
