row_label_raw,row_label_full,Công ty TNHH TM&DV Kỹ Thuật Nam Phát,31/12/2019 > -,01/01/2019 > 58.521.141.342,numeric__31/12/2019 > -,numeric__01/01/2019 > 58.521.141.342
Công ty TNHH Dịch vụ kỹ thuật HAXU,Công ty TNHH Dịch vụ kỹ thuật HAXU,Công ty TNHH Dịch vụ kỹ thuật HAXU,-,40.649.188.191,,40649188191.0
Chi đầu tư cho người trồng mía,Chi đầu tư cho người trồng mía,Chi đầu tư cho người trồng mía,164.260.265.734,167.542.709.048,164260265734.0,167542709048.0
Công ty CP Cơ Điện và Xây Lắp Hùng Vương,Công ty CP Cơ Điện và Xây Lắp Hùng Vương,Công ty CP Cơ Điện và Xây Lắp Hùng Vương,-,20.302.034.439,,20302034439.0
Các đổi tượng khác,Các đổi tượng khác,Các đổi tượng khác,30.537.829.787,85.025.564.478,30537829787.0,85025564478.0
Cộng,Cộng,Cộng,194.798.095.521,372.040.637.498,194798095521.0,372040637498.0
