row_label_raw,row_label_full,Báo cáo bộ phântheo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phântheo hoạt động kinh doanh,Báo cáo bộ phântheo hoạt động kinh doanh,Báo cáo bộ phântheo hoạt động kinh doanh,Năm 2019,Năm 2018,Năm 2019,Năm 2018,Năm 2019,Năm 2018,Năm 2019,Năm 2018,,,,,,,,
Doanh thu bộ phân,Báo cáo bộ phântheo hoạt động kinh doanh > Doanh thu bộ phân,Doanh thu bộ phân,1.486.045.747.981,2.250.918.920.910,4.265.761.889.133,3.862.620.494.387,1.611.592.646.902,1.591.998.488.376,7.363.400.284.016,7.705.537.903.673,1486045747981.0,2250918920910.0,4265761889133.0,3862620494387.0,1611592646902.0,1591998488376.0,7363400284016.0,7705537903673.0
Giá vốn bộ phân,Báo cáo bộ phântheo hoạt động kinh doanh > Giá vốn bộ phân,Giá vốn bộ phân,1.331.458.940.088,1.976.401.338.649,2.351.594.195.662,2.223.136.965.517,1.265.549.845.695,1.251.790.274.034,4.948.602.981.445,5.451.328.578.200,1331458940088.0,1976401338649.0,2351594195662.0,2223136965517.0,1265549845695.0,1251790274034.0,4948602981445.0,5451328578200.0
Lợi nhuận gộp,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,154.586.807.893,274.517.582.261,1.914.167.693.471,1.639.483.528.870,346.042.801.207,340.208.214.342,2.414.797.302.571,2.254.209.325.473,154586807893.0,274517582261.0,1914167693471.0,1639483528870.0,346042801207.0,340208214342.0,2414797302571.0,2254209325473.0
Doanh thu hoạt động tài chính,Báo cáo bộ phântheo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,201.909.976.410,170.323.902.343,,,,,,,201909976410.0,170323902343.0
Chi phí tài chính,Báo cáo bộ phântheo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,77.362.094.057,96.152.814.482,,,,,,,77362094057.0,96152814482.0
Chi phí bán hàng,Báo cáo bộ phântheo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,749.508.041.635,724.593.390.895,,,,,,,749508041635.0,724593390895.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phântheo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,209.810.817.534,171.982.777.628,,,,,,,209810817534.0,171982777628.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,1.580.026.325.755,1.431.804.244.811,,,,,,,1580026325755.0,1431804244811.0
Thu nhập khác,Báo cáo bộ phântheo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,33.110.011.771,58.319.044.611,,,,,,,33110011771.0,58319044611.0
Chi phí khác,Báo cáo bộ phântheo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,7.546.051.800,804.049.086,,,,,,,7546051800.0,804049086.0
Lợi nhuận khác,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,25.563.959.971,57.514.995.525,,,,,,,25563959971.0,57514995525.0
Lợi nhuận trước thuế,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,1.605.590.285.726,1.489.319.240.336,,,,,,,1605590285726.0,1489319240336.0
Thuế TNDN,Báo cáo bộ phântheo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,251.355.228.208,164.757.901.932,,,,,,,251355228208.0,164757901932.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,1.354.235.057.518,1.324.561.338.404,,,,,,,1354235057518.0,1324561338404.0
