row_label_raw,row_label_full,Đầu tư vào công ty con(Thuyết minh số 15.1),Số cuối năm > 12.042.692.308.699,VND Số đầu năm > 12.298.875.800.682,numeric__Số cuối năm > 12.042.692.308.699,numeric__VND Số đầu năm > 12.298.875.800.682
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(10.849.328.690),(17.324.947.848),-10849328690.0,-17324947848.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.031.842.980.009,12.281.550.852.834,12031842980009.0,12281550852834.0
