row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 1.927.836.741.132 > 724.393.380.644,VNDNăm trước > 2.915.099.553.114 > 24.290.530.951,numeric__Năm nay > 1.927.836.741.132 > 724.393.380.644,numeric__VNDNăm trước > 2.915.099.553.114 > 24.290.530.951
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(1.068.125.211.158),(879.725.000.000),-1068125211158.0,-879725000000.0
Cấn trừ công nợ,Cấn trừ công nợ,Cấn trừ công nợ,(207.314.645.896),-,-207314645896.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(20.000.000),(59.818.182),-20000000.0,-59818182.0
Phát hành cổ phiếu chuyển đổi trái phiếu,Phát hành cổ phiếu chuyển đổi trái phiếu,Phát hành cổ phiếu chuyển đổi trái phiếu,-,(140.000.000.000),,-140000000000.0
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,1.331.974.641,8.231.475.249,1331974641.0,8231475249.0
Số cuối năm,Số cuối năm,Số cuối năm,1.378.102.239.363,1.927.836.741.132,1378102239363.0,1927836741132.0
