row_label_raw,row_label_full,col_0,Phương tiênvận tải,Thiết bịvăn phòng,Tài sảncó định khác,VNDTổng cộng,numeric__Phương tiênvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm và số cuối năm,Nguyên giá: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,13.640.924.625,10.474.855.177,965.494.220,25.081.274.022,13640924625.0,10474855177.0,965494220.0,25081274022.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,5.415.486.443,8.772.857.449,748.630.584,14.936.974.476,5415486443.0,8772857449.0,748630584.0,14936974476.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(9.590.074.069),(9.341.488.334),(874.170.359),(19.805.732.762),-9590074069.0,-9341488334.0,-874170359.0,-19805732762.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.221.606.428),(616.239.180),(46.839.016),(1.884.684.624),-1221606428.0,-616239180.0,-46839016.0,-1884684624.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(10.811.680.497),(9.957.727.514),(921.009.375),(21.690.417.386),-10811680497.0,-9957727514.0,-921009375.0,-21690417386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,4.050.850.556,1.133.366.843,91.323.861,5.275.541.260,4050850556.0,1133366843.0,91323861.0,5275541260.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.829.244.128,517.127.663,44.484.845,3.390.856.636,2829244128.0,517127663.0,44484845.0,3390856636.0
