row_label_raw,row_label_full,col_0,VNDNhà cửa và vật kiến trúc,numeric__VNDNhà cửa và vật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,72.312.536.923,72312536923.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.171.146.623),-1171146623.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,71.141.390.300,71141390300.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(7.021.035.957),-7021035957.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.361.933.052),-1361933052.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",211.457.025,211457025.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(8.171.511.984),-8171511984.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,65.291.500.966,65291500966.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,62.969.878.316,62969878316.0
