row_label_raw,row_label_full,Phải trả khác,Phải trả khác_1,Phải trả khác_2,Phải trả khác_3,numeric__Phải trả khác_1,numeric__Phải trả khác_2,numeric__Phải trả khác_3
Hà An,Hà An,Hà An,Nhận ký quỹ,3.206.950.000.000,3.206.950.000.000,,3206950000000.0,3206950000000.0
Hà An,Hà An,Hà An,Lãi vay,72.605.965.920,-,,72605965920.0,
Diamond,Diamond,Diamond,Thu hộ tiền cọc dự án,198.025.200.000,-,,198025200000.0,
Ruby,Ruby,Ruby,Thu hộ tiền cọc dự án,189.939.600.000,-,,189939600000.0,
BĐS Đồng Nai,BĐS Đồng Nai,BĐS Đồng Nai,Cán trừ công nợ,165.825.000.000,-,,165825000000.0,
Phước Sơn,Phước Sơn,Phước Sơn,Cán trừ công nợ,150.750.000.000,-,,150750000000.0,
Phước Sơn,Phước Sơn,Phước Sơn,Lãi vay,64.800.000.000,64.800.000.000,,64800000000.0,64800000000.0
Vidoland,Vidoland,Vidoland,Vốn nhận từ HĐHTKD,121.121.039.416,121.121.039.416,,121121039416.0,121121039416.0
Thăng Long Petrol,Thăng Long Petrol,Thăng Long Petrol,Vốn nhận từ HĐHTKD,112.489.220.930,112.489.220.930,,112489220930.0,112489220930.0
Hội An Invest,Hội An Invest,Hội An Invest,Lãi vay,77.518.422.226,158.016.398.629,,77518422226.0,158016398629.0
Hội An Invest,Hội An Invest,Hội An Invest,Phạt vi phạm,,,,,
Hội An Invest,Hội An Invest > Hội An Invest,Hội An Invest,hợp đồng,14.985.780.000,-,,14985780000.0,
Đất Xanh Miền Nam,Hội An Invest > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Vốn nhận từ HĐHTKD,7.366.596.913,7.366.596.913,,7366596913.0,7366596913.0
Đất Xanh Miền Nam,Hội An Invest > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Thu hộ,417.147.545,417.147.545,,417147545.0,417147545.0
Đất Xanh Miền Nam,Hội An Invest > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Nhận ký quỹ,100.000.000,100.000.000,,100000000.0,100000000.0
DXI,Hội An Invest > DXI,DXI,Cán trừ công nợ,5.916.974.533,-,,5916974533.0,
Hà Thuận Hùng,Hội An Invest > Hà Thuận Hùng,Hà Thuận Hùng,Thu hộ tiền dự án,2.911.174.538,2.911.174.538,,2911174538.0,2911174538.0
DXS,Hội An Invest > DXS,DXS,Thu hộ tiền dự án,2.480.489.982,2.480.489.982,,2480489982.0,2480489982.0
Sài Gòn Riverside,Hội An Invest > Sài Gòn Riverside,Sài Gòn Riverside,Vốn nhận từ HĐHTKD,-,350.308.642.030,,,350308642030.0
Công ty khác,Hội An Invest > Công ty khác,Công ty khác,Nhận ký quỹ,1.800.000.000,1.800.000.000,,1800000000.0,1800000000.0
Khác,Hội An Invest > Khác,Khác,Khác,2.593.809.595,2.677.431.545,,2593809595.0,2677431545.0
,,,,4.398.596.421.598,4.031.438.141.528,,4398596421598.0,4031438141528.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,
Hà An,Vay ngắn hạn > Hà An,Hà An,Vay,928.625.354.104,1.080.000.000.000,,928625354104.0,1080000000000.0
Lương Trí Thìn,Vay ngắn hạn > Lương Trí Thìn,Lương Trí Thìn,Vay,150.000.000.000,-,,150000000000.0,
Hội An Invest,Vay ngắn hạn > Hội An Invest,Hội An Invest,Vay,-,207.275.000.000,,,207275000000.0
,,,,1.078.625.354.104,1.287.275.000.000,,1078625354104.0,1287275000000.0
