row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiéutrong những năm trước,Năm nay > - > 9.199.655.017,VNDNăm trước > 9.420.008.058 > 262.849.457,numeric__Năm nay > - > 9.199.655.017,numeric__VNDNăm trước > 9.420.008.058 > 262.849.457
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,4.578.018.193,,4578018193.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.199.655.017,14.260.875.708,9199655017.0,14260875708.0
