row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,5.977.730.480.000,10.677.980.806,(2.500.560.000),76.946.451.831,1.517.128.037.257,7.579.982.389.894,5977730480000.0,10677980806.0,-2500560000.0,76946451831.0,1517128037257.0,7579982389894.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Năm trước > Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,70.000.000.000,-,-,-,-,70.000.000.000,70000000000.0,,,,,70000000000.0
Phát hành cổ phiếu để chuyển đổi trái phiếu,Năm trước > Phát hành cổ phiếu để chuyển đổi trái phiếu,Phát hành cổ phiếu để chuyển đổi trái phiếu,70.059.540.000,69.720.460.000,-,-,-,139.780.000.000,70059540000.0,69720460000.0,,,,139780000000.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,23.145.206.567,(23.145.206.567),-,,,,23145206567.0,-23145206567.0,
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(34.717.809.850),(34.717.809.850),,,,,-34717809850.0,-34717809850.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,602.600.595.334,602.600.595.334,,,,,602600595334.0,602600595334.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,6.117.790.020.000,80.398.440.806,(2.500.560.000),100.091.658.398,2.061.865.616.174,8.357.645.175.378,6117790020000.0,80398440806.0,-2500560000.0,100091658398.0,2061865616174.0,8357645175378.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,6.117.790.020.000,80.398.440.806,(2.500.560.000),100.091.658.398,2.061.865.616.174,8.357.645.175.378,6117790020000.0,80398440806.0,-2500560000.0,100091658398.0,2061865616174.0,8357645175378.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,4.297.383.804,(4.297.383.804),-,,,,4297383804.0,-4297383804.0,
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(6.446.075.706),(6.446.075.706),,,,,-6446075706.0,-6446075706.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,113.813.319.721,113.813.319.721,,,,,113813319721.0,113813319721.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,6.117.790.020.000,80.398.440.806,(2.500.560.000),104.389.042.202,2.164.935.476.385,8.465.012.419.393,6117790020000.0,80398440806.0,-2500560000.0,104389042202.0,2164935476385.0,8465012419393.0
