row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.178.417.455.263,1.728.295.093.401,1178417455263.0,1728295093401.0
Vay bên liên quan (Thuyết minh số 21.1),Vay bên liên quan (Thuyết minh số 21.1),Vay bên liên quan (Thuyết minh số 21.1),1.078.625.354.104,1.287.275.000.000,1078625354104.0,1287275000000.0
Vay bên khác (Thuyết minh số 21.2),Vay bên khác (Thuyết minh số 21.2),Vay bên khác (Thuyết minh số 21.2),51.893.700.437,-,51893700437.0,
Trái phiếu (Thuyết minh số 21.3),Trái phiếu (Thuyết minh số 21.3),Trái phiếu (Thuyết minh số 21.3),47.898.400.722,47.654.562.450,47898400722.0,47654562450.0
Vay ngắn hạn từ các ngân hàng,Vay ngắn hạn từ các ngân hàng,Vay ngắn hạn từ các ngân hàng,-,24.290.530.951,,24290530951.0
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,-,369.075.000.000,,369075000000.0
Dài hạn,Dài hạn,Dài hạn,199.684.784.100,199.541.647.731,199684784100.0,199541647731.0
Trái phiếu (Thuyết minh số 21.4),Trái phiếu (Thuyết minh số 21.4),Trái phiếu (Thuyết minh số 21.4),199.684.784.100,199.541.647.731,199684784100.0,199541647731.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.378.102.239.363,1.927.836.741.132,1378102239363.0,1927836741132.0
