row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,col_8,col_9,col_10,col_11,col_12,col_13,numeric__col_1,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__col_8,numeric__col_9,numeric__col_10,numeric__col_11,numeric__col_12,numeric__col_13
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.874.418.646.390,3.874.418.646.390,7.201.563.745.871,5.872.813.013.884,5.203.169.378.377,5.203.169.378.377,,,,,,,,3874418646390.0,3874418646390.0,7201563745871.0,5872813013884.0,5203169378377.0,5203169378377.0,,,,,,
Nợ dài hạn đến hạn trả (xem Thuyết minh số 20),Nợ dài hạn đến hạn trả (xem Thuyết minh số 20),Nợ dài hạn đến hạn trả (xem Thuyết minh số 20),Nợ dài hạn đến hạn trả (xem Thuyết minh số 20),202.220.754.280,202.220.754.280,323.046.555.009,202.220.754.280,323.046.555.009,323.046.555.009,,,,,,,,202220754280.0,202220754280.0,323046555009.0,202220754280.0,323046555009.0,323046555009.0,,,,,,
,,,,4.076.639.400.670,4.076.639.400.670,7.524.610.300.880,6.075.033.768.164,5.526.215.933.386,5.526.215.933.386,,,,,,,,4076639400670.0,4076639400670.0,7524610300880.0,6075033768164.0,5526215933386.0,5526215933386.0,,,,,,
20.,20.,20.,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,,,,,,,,,,,,,,,,,,,
20.,20.,20.,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Số cuối năm,Số cuối năm,,,,,,,,,,,,,
20.,20.,20.,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,VAY DÀI HẠN,Giá trị,VND Số có khả năng trả nợ,Tăng,VND Giảm,Giá trị,VND Số có khả năng trả nợ,,,,,,,,,,,,,
Vay dài hạn,20. > Vay dài hạn,Vay dài hạn,Vay dài hạn,499.997.472.295,499.997.472.295,268.603.412.593,202.220.754.280,566.380.130.608,566.380.130.608,,,,,,,,499997472295.0,499997472295.0,268603412593.0,202220754280.0,566380130608.0,566380130608.0,,,,,,
Vay dài hạn,20. > Vay dài hạn,Vay dài hạn,Vay dài hạn,499.997.472.295,499.997.472.295,268.603.412.593,202.220.754.280,566.380.130.608,566.380.130.608,,,,,,,,499997472295.0,499997472295.0,268603412593.0,202220754280.0,566380130608.0,566380130608.0,,,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,,,,,,,,,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,202.220.754.280,,,,323.046.555.009,,,,,,,,,202220754280.0,,,,323046555009.0,,,,,,,
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,297.776.718.015,,,,243.333.575.599,,,,,,,,,297776718015.0,,,,243333575599.0,,,,,,,
Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau:,,,,,,,,,,,,,,,,,,,
,,,,,,Số cuối năm,Số đầu năm,,,,,,,,,,,,,,,,,,,,,
,,,,,,VND,VND,,,,,,,,,,,,,,,,,,,,,
Trong vòng một năm,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Trong vòng một năm,Trong vòng một năm,Trong vòng một năm,Trong vòng một năm,Trong vòng một năm,323.046.555.009,202.220.754.280,,,,,,,,,,,,323046555009.0,202220754280.0,,,,,,,,
Trong năm thứ hai,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Trong năm thứ hai,Trong năm thứ hai,Trong năm thứ hai,Trong năm thứ hai,Trong năm thứ hai,181.936.503.662,219.443.384.681,,,,,,,,,,,,181936503662.0,219443384681.0,,,,,,,,
Từ năm thứ ba đến năm thứ năm,Các khoản vay dài hạn được hoàn trả theo lịch biểu sau: > Từ năm thứ ba đến năm thứ năm,Từ năm thứ ba đến năm thứ năm,Từ năm thứ ba đến năm thứ năm,Từ năm thứ ba đến năm thứ năm,Từ năm thứ ba đến năm thứ năm,61.397.071.937,78.333.333.334,,,,,,,,,,,,61397071937.0,78333333334.0,,,,,,,,
,,,,,,566.380.130.608,499.997.472.295,,,,,,,,,,,,566380130608.0,499997472295.0,,,,,,,,
