row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Chi phí triển khai thuê bao,a. Ngắn hạn > Chi phí triển khai thuê bao,Chi phí triển khai thuê bao,346.558.396.435,403.755.987.720,346558396435.0,403755987720.0
Chi phí trả trước ngắn hạn khác,a. Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,97.705.115.276,118.962.684.513,97705115276.0,118962684513.0
,,,444.263.511.711,522.718.672.233,444263511711.0,522718672233.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Chi phí triển khai thuê bao,b. Dài hạn > Chi phí triển khai thuê bao,Chi phí triển khai thuê bao,951.902.488.768,947.987.826.010,951902488768.0,947987826010.0
Chi phí thuê văn phòng,b. Dài hạn > Chi phí thuê văn phòng,Chi phí thuê văn phòng,226.705.882.348,278.281.033.429,226705882348.0,278281033429.0
Chi phí trả trước dài hạn khác,b. Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,283.170.900.751,215.299.549.269,283170900751.0,215299549269.0
,,,1.461.779.271.867,1.441.568.408.708,1461779271867.0,1441568408708.0
