row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Giấy phép bản quyền và quyền khai thác,Phần mềm máy vi tính,Tổng,numeric__Quyền sử dụng đất,numeric__Giấy phép bản quyền và quyền khai thác,numeric__Phần mềm máy vi tính,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,85.975.471.689,728.947.494.886,79.252.293.014,894.175.259.589,85975471689.0,728947494886.0,79252293014.0,894175259589.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,2.553.990.000,5.709.746.113,26.677.850.217,34.941.586.330,2553990000.0,5709746113.0,26677850217.0,34941586330.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(438.477.306),(438.477.306),,,-438477306.0,-438477306.0
Phân loại lại sang tài sản cố định hữu hình,NGUYÊN GIÁ > Phân loại lại sang tài sản cố định hữu hình,Phân loại lại sang tài sản cố định hữu hình,-,-,(4.640.578.423),(4.640.578.423),,,-4640578423.0,-4640578423.0
Điều chỉnh khác,NGUYÊN GIÁ > Điều chỉnh khác,Điều chỉnh khác,-,(264.907.575),(4.602.661.664),(4.867.569.239),,-264907575.0,-4602661664.0,-4867569239.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,88.529.461.689,734.392.333.424,96.248.425.838,919.170.220.951,88529461689.0,734392333424.0,96248425838.0,919170220951.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,219.871.392.090,49.667.938.433,269.539.330.523,,219871392090.0,49667938433.0,269539330523.0
Khấu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,-,51.355.648.668,17.481.458.960,68.837.107.628,,51355648668.0,17481458960.0,68837107628.0
"Thanh lý, nhượng bán","GIÁ TRI HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(438.477.306),(438.477.306),,,-438477306.0,-438477306.0
Phân loại lại sang tài sản cố định hữu hình,GIÁ TRI HAO MÒN LỦY KẾ > Phân loại lại sang tài sản cố định hữu hình,Phân loại lại sang tài sản cố định hữu hình,-,-,(4.640.578.423),(4.640.578.423),,,-4640578423.0,-4640578423.0
Điều chỉnh khác,GIÁ TRI HAO MÒN LỦY KẾ > Điều chỉnh khác,Điều chỉnh khác,-,(266.723.504),(3.416.082.089),(3.682.805.593),,-266723504.0,-3416082089.0,-3682805593.0
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,-,270.960.317.254,58.654.259.575,329.614.576.829,,270960317254.0,58654259575.0,329614576829.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,85.975.471.689,509.076.102.796,29.584.354.581,624.635.929.066,85975471689.0,509076102796.0,29584354581.0,624635929066.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,88.529.461.689,463.432.016.170,37.594.166.263,589.555.644.122,88529461689.0,463432016170.0,37594166263.0,589555644122.0
