row_label_raw,row_label_full,STT > 1 > 2,Họ tên > Nguyễn Lương Tâm > Lương Quốc Lân,Chức danh > Trường Ban (bố nhiệm ngày 03 tháng 3 năm 2020) > Trường Ban (miễn nhiệm ngày 03 tháng 3 năm 2020),Năm nay > -,numeric__Họ tên > Nguyễn Lương Tâm > Lương Quốc Lân,numeric__Chức danh > Trường Ban (bố nhiệm ngày 03 tháng 3 năm 2020) > Trường Ban (miễn nhiệm ngày 03 tháng 3 năm 2020),numeric__Năm nay > -
3,3,3,Phan Phương Đạt,Thành viên,-,,,
4,3 > 4,4,Đỗ Xuân Phúc,Thành viên,24.000.000,,,24000000.0
Tổng cộng,3 > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,24.000.000,,,24000000.0
